tick_ms,row_type,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,lat,lon,alt,speed,sats,vbat,gps_epoch
16722,M,,,,,,,MARKER,LOG_OPEN,1,sess_001.csv,,0.00
17574,I,-0.0868,0.0928,1.0166,-4.51,-2.32,-8.23,,,,,,
17584,I,-0.0837,0.0933,1.0133,-5.00,-1.34,-9.21,,,,,,
17594,I,-0.0837,0.0933,1.0133,-5.00,-1.34,-9.21,,,,,,
17679,I,-0.0680,0.0905,1.0122,-6.28,2.07,-16.28,,,,,,
17689,I,-0.0680,0.0905,1.0122,-6.28,2.07,-16.28,,,,,,
17699,I,-0.0631,0.0955,1.0076,-7.56,1.83,-15.98,,,,,,
17709,I,-0.0631,0.0955,1.0076,-7.56,1.83,-15.98,,,,,,
17719,I,-0.0640,0.0968,1.0070,-9.21,2.99,-13.60,,,,,,
17729,I,-0.0640,0.0968,1.0070,-9.21,2.99,-13.60,,,,,,
17739,I,-0.0673,0.0950,1.0100,-9.57,2.99,-9.57,,,,,,
17752,I,-0.0673,0.0950,1.0100,-9.57,2.99,-9.57,,,,,,
17762,I,-0.0674,0.0902,1.0143,-9.76,1.59,-5.37,,,,,,
17772,I,-0.0674,0.0902,1.0143,-9.76,1.59,-5.37,,,,,,
17782,I,-0.0637,0.0822,1.0173,-8.41,1.89,-2.80,,,,,,
17793,I,-0.0637,0.0822,1.0173,-8.41,1.89,-2.80,,,,,,
17803,I,-0.0636,0.0736,1.0189,-6.04,2.80,-1.71,,,,,,
17813,I,-0.0636,0.0736,1.0189,-6.04,2.80,-1.71,,,,,,
17823,I,-0.0684,0.0675,1.0189,-2.44,2.80,-2.44,,,,,,
17833,I,-0.0684,0.0675,1.0189,-2.44,2.80,-2.44,,,,,,
17843,I,-0.0735,0.0653,1.0175,2.93,1.89,-3.54,,,,,,
17853,I,-0.0735,0.0653,1.0175,2.93,1.89,-3.54,,,,,,
17866,I,-0.0754,0.0701,1.0134,7.99,0.61,-4.70,,,,,,
17876,I,-0.0752,0.0809,1.0101,11.16,0.43,-5.49,,,,,,
17892,I,-0.0752,0.0809,1.0101,11.16,0.43,-5.49,,,,,,
17904,I,-0.0745,0.0912,1.0109,11.46,1.10,-4.82,,,,,,
17914,I,-0.0740,0.0973,1.0151,8.35,1.52,-3.48,,,,,,
17924,I,-0.0740,0.0973,1.0151,8.35,1.52,-3.48,,,,,,
17934,I,-0.0740,0.0973,1.0151,8.35,1.52,-3.48,,,,,,
17944,I,-0.0730,0.0991,1.0179,5.79,2.44,-2.26,,,,,,
17954,I,-0.0699,0.0980,1.0161,3.54,2.74,-1.22,,,,,,
17964,I,-0.0699,0.0980,1.0161,3.54,2.74,-1.22,,,,,,
17974,I,-0.0688,0.0961,1.0114,2.07,3.05,-1.46,,,,,,
17984,I,-0.0688,0.0961,1.0114,2.07,3.05,-1.46,,,,,,
17994,I,-0.0691,0.0945,1.0092,0.49,2.62,-2.62,,,,,,
18005,I,-0.0691,0.0945,1.0092,0.49,2.62,-2.62,,,,,,
18015,I,-0.0718,0.0945,1.0103,0.98,1.65,-2.38,,,,,,
18025,I,-0.0718,0.0945,1.0103,0.98,1.65,-2.38,,,,,,
18035,I,-0.0732,0.0964,1.0135,0.12,1.28,-0.18,,,,,,
18045,I,-0.0732,0.0964,1.0135,0.12,1.28,-0.18,,,,,,
18056,I,-0.0740,0.0957,1.0162,-2.99,1.83,2.01,,,,,,
18066,I,-0.0740,0.0957,1.0162,-2.99,1.83,2.01,,,,,,
18076,I,-0.0748,0.0884,1.0173,-5.67,2.87,2.80,,,,,,
18086,I,-0.0748,0.0884,1.0173,-5.67,2.87,2.80,,,,,,
18102,I,-0.0764,0.0801,1.0157,-5.00,2.93,1.59,,,,,,
18112,I,-0.0764,0.0801,1.0157,-5.00,2.93,1.59,,,,,,
18122,I,-0.0779,0.0765,1.0127,-1.83,2.20,0.43,,,,,,
18132,I,-0.0779,0.0765,1.0127,-1.83,2.20,0.43,,,,,,
18142,I,-0.0769,0.0782,1.0118,0.98,2.07,-0.98,,,,,,
18152,I,-0.0769,0.0782,1.0118,0.98,2.07,-0.98,,,,,,
18162,I,-0.0771,0.0835,1.0140,1.89,1.59,-1.46,,,,,,
18172,I,-0.0771,0.0835,1.0140,1.89,1.59,-1.46,,,,,,
18182,I,-0.0779,0.0863,1.0168,1.22,2.26,-0.79,,,,,,
18192,I,-0.0779,0.0863,1.0168,1.22,2.26,-0.79,,,,,,
18202,I,-0.0780,0.0861,1.0171,0.73,3.41,0.12,,,,,,
18216,I,-0.0775,0.0854,1.0150,0.73,2.99,0.79,,,,,,
18226,I,-0.0775,0.0854,1.0150,0.73,2.99,0.79,,,,,,
18236,I,-0.0780,0.0840,1.0121,0.30,2.68,0.61,,,,,,
18246,I,-0.0780,0.0840,1.0121,0.30,2.68,0.61,,,,,,
18256,I,-0.0790,0.0830,1.0111,1.04,2.13,-0.18,,,,,,
18266,I,-0.0790,0.0830,1.0111,1.04,2.13,-0.18,,,,,,
18276,I,-0.0807,0.0846,1.0109,1.71,1.34,-0.61,,,,,,
18286,I,-0.0807,0.0846,1.0109,1.71,1.34,-0.61,,,,,,
18296,I,-0.0826,0.0878,1.0126,1.28,1.34,-1.59,,,,,,
18312,I,-0.0831,0.0908,1.0156,-0.43,1.59,-2.07,,,,,,
18327,I,-0.0831,0.0908,1.0156,-0.43,1.59,-2.07,,,,,,
18337,I,-0.0831,0.0920,1.0171,-2.62,1.71,-2.01,,,,,,
18347,I,-0.0831,0.0920,1.0171,-2.62,1.71,-2.01,,,,,,
18357,I,-0.0835,0.0913,1.0161,-4.94,2.01,-2.50,,,,,,
18367,I,-0.0835,0.0913,1.0161,-4.94,2.01,-2.50,,,,,,
18377,I,-0.0817,0.0890,1.0128,-6.46,2.74,-3.60,,,,,,
18387,I,-0.0817,0.0890,1.0128,-6.46,2.74,-3.60,,,,,,
18397,I,-0.0778,0.0870,1.0116,-6.40,2.20,-4.33,,,,,,
18407,I,-0.0778,0.0870,1.0116,-6.40,2.20,-4.33,,,,,,
18417,I,-0.0745,0.0863,1.0116,-6.34,2.32,-4.21,,,,,,
18429,I,-0.0745,0.0863,1.0116,-6.34,2.32,-4.21,,,,,,
18439,I,-0.0747,0.0840,1.0138,-7.26,3.11,-3.54,,,,,,
18449,I,-0.0747,0.0840,1.0138,-7.26,3.11,-3.54,,,,,,
18459,I,-0.0798,0.0813,1.0129,-7.13,2.68,-2.13,,,,,,
18469,I,-0.0798,0.0813,1.0129,-7.13,2.68,-2.13,,,,,,
18485,I,-0.0844,0.0798,1.0090,-6.59,1.52,-2.20,,,,,,
18495,I,-0.0852,0.0771,1.0093,-5.73,0.67,-3.17,,,,,,
18505,I,-0.0852,0.0771,1.0093,-5.73,0.67,-3.17,,,,,,
18515,I,-0.0826,0.0748,1.0155,-3.72,0.49,-3.23,,,,,,
18597,I,-0.0741,0.0597,1.0139,3.41,2.44,-5.49,,,,,,
18607,I,-0.0741,0.0597,1.0139,3.41,2.44,-5.49,,,,,,
18617,I,-0.0709,0.0629,1.0074,10.91,0.49,-6.34,,,,,,
18627,I,-0.0709,0.0629,1.0074,10.91,0.49,-6.34,,,,,,
18637,I,-0.0707,0.0746,1.0085,15.85,0.55,-5.18,,,,,,
18647,I,-0.0707,0.0746,1.0085,15.85,0.55,-5.18,,,,,,
18657,I,-0.0735,0.0844,1.0135,14.57,0.85,-2.20,,,,,,
18667,I,-0.0735,0.0844,1.0135,14.57,0.85,-2.20,,,,,,
