timestamp,latitude,longitude,speed,satellites,imu_x,imu_y,imu_z,gyro_x,gyro_y,gyro_z,pressure
1768484130.3692923,11.127853166666666,77.1859065,0.25187200000000004,4,-3424,-10708,11768,144,-344,-70,
1768484130.469231,11.127872833333333,77.18592016666666,0.15186400000000003,4,-2652,-11280,11456,206,-316,16,
1768484130.5851493,11.127882166666666,77.18592666666666,0.266688,4,-3256,-10800,11856,380,-159,156,
1768484130.6384363,11.127887333333334,77.18593016666667,0.29632000000000003,4,-3444,-10656,11980,319,-291,84,
1768484130.7352464,11.1278905,77.18593283333334,0.16853200000000002,4,-3016,-11016,11692,188,-360,-256,
1768484130.8353407,11.1278925,77.18593466666667,0.29261600000000004,4,-2764,-11112,11600,344,-238,125,
1768484130.9367557,11.127894166666668,77.18593583333333,0.40373600000000004,4,-3348,-10824,11820,312,-248,91,
1768484131.0358849,11.127896666666667,77.18593783333333,0.35928800000000005,4,-3068,-10920,11728,218,-329,11,
1768484131.1396687,11.1278985,77.1859395,0.372252,4,-2944,-11000,11664,308,-247,106,
1768484131.2434027,11.1279,77.18594066666667,0.300024,4,-3148,-10852,11664,283,-262,99,
1768484131.3860586,11.127901166666666,77.18594166666666,0.09074800000000001,4,-3016,-11228,11624,286,-264,61,
1768484131.4862132,11.127902833333334,77.18594316666666,0.109268,4,-3064,-10904,11688,298,-512,109,
1768484131.5395172,11.127905,77.18594483333334,0.170384,4,-3148,-10880,11876,288,-293,79,
1768484131.6524138,11.127907,77.18594666666667,0.200016,4,-3000,-10648,11568,270,-272,66,
1768484131.7523406,11.127909166666667,77.18594833333333,0.031484000000000005,4,-3060,-10896,11720,286,-266,89,
1768484131.8524716,11.127911666666666,77.18595016666667,0.220388,4,-3104,-10864,11820,306,-288,81,
1768484131.9526339,11.127914,77.18595216666667,0.272244,4,-3028,-11224,11736,295,-244,74,
1768484132.0528724,11.127916666666666,77.18595416666666,0.177792,4,-3052,-10944,11524,329,-215,90,
1768484132.1529708,11.127919,77.18595583333334,0.053708000000000006,4,-3148,-10896,11764,296,-280,79,
1768484132.253127,11.1279215,77.1859575,0.116676,4,-3168,-10912,11756,304,-273,94,
1768484132.353198,11.127923833333334,77.18595933333333,0.25187200000000004,4,-3084,-10872,11956,300,-212,79,
1768484132.4536886,11.1279265,77.18596116666667,0.051856000000000006,4,-3120,-10884,12048,272,-239,64,
1768484132.5535204,11.127929,77.18596283333333,0.079636,4,-3320,-10884,12164,298,-284,90,
1768484132.6666687,11.1279315,77.1859645,0.320396,4,-3020,-11220,10656,304,-297,92,
1768484132.7667584,11.127934166666666,77.18596633333334,0.15742000000000003,4,-3220,-10848,11764,15,-230,104,
1768484132.86691,11.1279365,77.185968,0.49263200000000007,4,-2840,-10676,11928,306,-506,67,
1768484132.9670315,11.127939,77.1859695,0.17408800000000002,4,-3076,-10908,11912,267,-291,56,
1768484133.0672064,11.1279415,77.18597083333333,0.41484800000000005,4,-3108,-10888,11772,277,-310,44,
1768484133.167506,11.127943833333333,77.18597233333334,0.211128,4,-3076,-11208,11656,13,-276,63,
1768484133.2675023,11.127946166666666,77.18597416666667,0.42040400000000006,4,-3124,-10968,11736,307,-268,71,
1768484133.3675344,11.127948833333333,77.1859755,0.135196,4,-2852,-11052,11624,311,-277,100,
1768484133.4676719,11.127951333333334,77.18597716666666,0.36854800000000004,4,-3112,-10920,11916,280,-248,50,
1768484133.567894,11.127954,77.18597866666667,0.30928400000000006,4,-3108,-11004,11952,281,-269,85,
1768484133.6383116,11.1279565,77.18598016666667,0.18705200000000002,4,-3116,-10788,11668,285,-290,71,
1768484133.7811248,11.127959333333333,77.18598166666666,0.170384,4,-3116,-10872,11716,326,-280,69,
1768484133.881425,11.127961833333334,77.18598316666667,0.270392,4,-3104,-10908,11856,284,-274,89,
1768484133.9813602,11.1279645,77.18598466666667,0.28706000000000004,4,-3144,-10932,11556,295,-263,47,
1768484134.0385416,11.127967333333334,77.18598616666667,0.279652,4,-3052,-10992,11560,296,-266,105,
1768484134.1387527,11.12797,77.18598783333333,0.37595600000000007,4,-3328,-10944,11756,323,-1,118,
1768484134.238502,11.1279725,77.18598916666667,0.227796,4,-3104,-10880,11764,510,-312,53,
1768484134.3383405,11.127974833333333,77.18599033333334,0.36114,4,-2976,-10900,11776,282,-293,79,
1768484134.4365034,11.127977333333334,77.18599166666667,0.255576,4,-3084,-10892,11560,299,-506,96,
1768484134.5395412,11.127979166666666,77.18599266666666,0.233352,4,-3192,-10964,11772,293,-508,66,
1768484134.6555243,11.127981,77.18599366666666,0.14075200000000002,4,-3056,-10952,11528,309,-271,93,
1768484134.7555313,11.127982833333334,77.1859945,0.08704400000000001,4,-3152,-10988,11688,288,-272,83,
1768484134.855868,11.127984333333334,77.18599533333334,0.440776,4,-2848,-11004,12008,301,-295,93,
1768484134.9561372,11.127986166666666,77.185996,0.48522400000000004,4,-3120,-10872,11744,287,-286,88,
1768484135.0562243,11.127988,77.18599716666667,0.40744,4,-3116,-10932,11896,301,-227,77,
1768484135.1563122,11.1279895,77.18599766666667,0.588936,4,-3132,-10948,11740,308,-282,107,
1768484135.2565064,11.127991333333334,77.18599866666666,0.150012,4,-3092,-10944,11712,287,-281,91,
1768484135.3565397,11.127992833333334,77.18599966666666,0.318544,4,-3100,-10940,11836,292,-262,68,
1768484135.4568899,11.127994166666667,77.18600033333334,0.43336800000000003,4,-3012,-10912,11700,266,-262,102,
1768484135.556861,11.127995833333333,77.18600133333334,0.16668,4,-2840,-11020,11780,276,-285,88,
