timestamp,latitude,longitude,speed,satellites,imu_x,imu_y,imu_z,gyro_x,gyro_y,gyro_z,pressure
1768728589.3190155,11.128942333333333,77.18445333333334,107.349328,7,-29048,9228,6544,1042,-3670,2658,
1768728589.4193523,11.128899333333333,77.18447733333333,107.734544,7,3196,-2724,20740,-1466,6437,36,
1768728589.5228457,11.128868,77.18448016666666,108.766108,7,-6620,-16784,32516,-3846,4941,-52,
1768728589.6195881,11.128838,77.18448066666667,108.808704,7,11664,-5844,19432,-162,4258,590,
1768728589.7193177,11.128809833333333,77.18448,108.186432,7,-23284,10960,-2336,-2060,-5409,2431,
1768728589.8196032,11.128782166666667,77.18447916666666,108.12716800000001,7,13424,-23336,32767,2886,1613,-1417,
1768728590.0230806,11.1287555,77.184478,105.704752,7,9812,32352,26044,6299,2480,-51,
1768728590.030024,11.1287315,77.18447566666667,105.704752,7,9812,32352,26044,6299,2480,-51,
1768728590.1367397,11.128703,77.18447433333333,109.33282,7,-32768,30336,-3580,4107,3237,901,
1768728590.237816,11.128675666666666,77.1844735,105.89180400000001,7,19912,-32768,10495,-936,-1066,-1421,
1768728590.3379776,11.128651,77.184473,100.354324,7,-32604,32348,-52,-154,-9205,957,
1768728590.4378028,11.128623166666667,77.18447133333333,107.493784,7,-15104,2268,-13112,4025,7720,1014,
1768728590.5379453,11.128596333333334,77.18446966666667,106.89373600000002,7,4940,-32540,32767,-2261,788,-468,
1768728590.6380966,11.12857,77.18446816666666,105.780684,7,32584,3492,32767,1964,-1178,-1928,
1768728590.7382157,11.128543666666667,77.1844665,106.010332,7,32520,-28268,26132,5559,1660,492,
1768728590.8384056,11.128516833333334,77.18446516666667,105.465844,7,-19544,13564,-32592,-4488,-6200,-3013,
1768728591.0414987,11.12849,77.1844635,104.82320000000001,7,19028,-29188,32676,154,2481,981,
1768728591.0484796,11.128463166666666,77.18446216666666,104.82320000000001,7,19028,-29188,32676,154,2481,981,
1768728591.1062233,11.128436833333334,77.184461,103.74348400000001,7,32736,-22968,32767,-1295,-2164,-2773,
1768728591.2043343,11.128410666666667,77.18445933333334,103.899052,7,6240,-32768,32767,-340,-4821,-518,
1768728591.3060958,11.1283845,77.1844575,104.447244,7,-32680,30975,17408,-4676,-2588,500,
1768728591.4061556,11.128358,77.18445583333333,104.197224,7,-16584,23076,-5696,-5523,-2115,-3254,
1768728591.5576434,11.1283325,77.18445416666667,103.773116,7,-32764,29040,-19444,-8048,-2570,-4041,
1768728591.6080208,11.128306666666667,77.18445266666667,102.78414800000002,7,14732,-12328,32767,-547,2284,-519,
1768728591.706073,11.128280666666667,77.18445133333333,103.63792000000001,7,-16848,3236,5196,-6070,-1765,-1395,
1768728591.8071158,11.128253833333334,77.1844505,103.45272,7,-912,-3908,32767,-6209,-1350,-1717,
1768728591.9073453,11.128229166666667,77.18444916666667,101.634056,7,32512,9012,32744,-1767,-915,3068,
1768728592.081271,11.128202166666666,77.18444866666667,102.760072,7,13528,-32680,19068,-6124,-2231,2185,
1768728592.1310306,11.128176333333334,77.18444816666667,102.030384,7,-32736,-21760,32767,-317,204,2000,
1768728592.2312388,11.128151,77.1844485,100.902516,7,-3584,-17708,5924,-8819,-7489,2766,
1768728592.331418,11.1281245,77.1844485,103.25455600000001,7,32767,32532,-32704,-8697,3140,1304,
1768728592.4314928,11.128098166666666,77.18444866666667,105.578816,7,1432,13164,32767,3366,491,519,
1768728592.5316143,11.1280725,77.1844495,101.376628,7,2816,-32608,11892,-8261,-5733,3297,
1768728592.6317992,11.128047166666667,77.18445133333333,101.834072,7,32767,32688,-32544,-1703,2352,1898,
1768728592.7319427,11.128021666666667,77.1844535,101.752584,7,-24632,-14592,32767,3348,71,2386,
1768728592.8320732,11.127996,77.1844565,101.574792,7,-26308,22776,-23808,-8752,-1758,496,
1768728592.932639,11.127970833333332,77.18445966666667,101.087716,7,15616,-7680,32636,-3437,-599,3419,
1768728593.106327,11.127945,77.18446416666667,100.852512,7,-15617,10751,13568,-11295,-3522,1741,
1768728593.113689,11.127920166666666,77.184469,100.852512,7,-15617,10751,13568,-11295,-3522,1741,
1768728593.2054164,11.127896,77.184474,101.29884400000002,7,4528,-2976,32767,8554,-533,1089,
1768728593.3064585,11.1278705,77.18448083333334,101.50812,7,-25601,20991,-32768,-11846,-595,1108,
1768728593.4068606,11.127846333333334,77.1844875,101.19142800000002,7,-32768,7204,32767,3543,-79,760,
1768728593.5583007,11.127822166666666,77.18449483333333,100.58767600000002,7,6584,-32744,32608,-6902,-8995,2280,
1768728593.6083746,11.127798,77.184503,100.848808,7,19536,10464,32767,3560,-8343,2447,
1768728593.70627,11.1277745,77.18451166666667,100.37284400000001,7,-3664,20804,32767,5638,3092,-1511,
1768728593.8072438,11.127751166666666,77.18452083333334,99.92651200000002,7,-17920,544,-13076,-8119,-12155,3467,
1768728593.9074354,11.127727833333333,77.184531,100.61730800000001,7,-11009,25992,-32768,-4268,178,2312,
