timestamp,latitude,longitude,speed,satellites,imu_x,imu_y,imu_z,gyro_x,gyro_y,gyro_z,pressure
1768665287.0518005,11.1279155,77.1860755,0.18520000000000003,5,-3108,-3424,15868,328,-299,45,
1768665287.2020705,11.127914833333334,77.18607566666667,0.096304,5,-3056,-3376,15828,5,-512,65,
1768665287.2520852,11.127914333333333,77.186076,0.264836,5,-3096,-3472,16052,286,-274,57,
1768665287.352193,11.127913833333333,77.18607616666667,0.10741600000000001,5,-3076,-3456,15844,292,-276,100,
1768665287.4525063,11.127913666666666,77.1860765,0.133344,5,-3136,-3384,15808,278,-248,49,
1768665287.5524044,11.127913333333334,77.18607683333333,0.072228,5,-3080,-3472,15704,276,-312,52,
1768665287.6525502,11.127913333333334,77.18607716666666,0.233352,5,-3052,-3468,15796,291,-280,55,
1768665287.7526238,11.127913166666668,77.18607733333333,0.112972,5,-3120,-3432,15792,320,-310,75,
1768665287.8528357,11.127913,77.1860775,0.24076000000000003,5,-3072,-3444,15936,24,-266,49,
1768665287.9209237,11.127913,77.18607766666666,0.042596,5,-2824,-3424,15624,296,-1,62,
1768665288.0202,11.127913,77.18607766666666,0.131492,5,-3028,-3360,15880,326,-498,63,
1768665288.1663675,11.127912833333333,77.18607766666666,0.1389,5,-3056,-3396,15720,236,-498,54,
1768665288.2230952,11.127912833333333,77.1860775,0.21483200000000002,5,-3092,-3448,15856,282,-265,68,
1768665288.3194263,11.127912833333333,77.18607716666666,0.07593200000000001,5,-3056,-3456,15860,296,-266,48,
1768665288.4667938,11.127912333333333,77.18607766666666,0.24076000000000003,5,-3052,-3364,15724,259,-264,51,
1768665288.520277,11.127911833333334,77.18607766666666,0.23705600000000002,5,-3036,-3540,15776,281,-250,85,
1768665288.6214542,11.1279115,77.18607733333333,0.224092,5,-3044,-3484,15828,307,-274,82,
1768665288.7189825,11.127911333333333,77.18607683333333,0.164828,5,-3080,-3400,15852,280,-507,50,
1768665288.8174047,11.127911333333333,77.18607666666666,0.42040400000000006,5,-3096,-3476,15760,295,-283,79,
1768665288.9331224,11.127911,77.18607616666667,0.085192,5,-3056,-3484,15800,290,-295,63,
1768665289.0332112,11.127911,77.18607583333333,0.33706400000000003,5,-3096,-3488,16124,285,-322,24,
1768665289.1834862,11.127911,77.18607533333333,0.05556,5,-3112,-3372,15764,265,-273,95,
1768665289.2334993,11.127910833333333,77.18607483333334,0.18520000000000003,7,-3144,-3512,15812,326,-272,74,
1768665289.3335876,11.1279105,77.18607483333334,0.183348,8,-3156,-3396,15756,303,-271,102,
1768665289.4364698,11.127914333333333,77.1860755,0.037040000000000003,8,-3088,-3392,15944,290,-312,48,
1768665289.5340118,11.127915666666667,77.1860765,0.205572,8,-3012,-3420,15808,298,-271,49,
1768665289.6339414,11.1279175,77.18607666666666,0.211128,8,-3112,-3448,15928,298,-270,37,
1768665289.7340734,11.127919666666667,77.1860765,0.10371200000000001,8,-3072,-3376,15800,314,-303,57,
1768665289.8342052,11.1279215,77.18607633333333,0.23520400000000002,8,-3032,-3520,15828,291,-247,69,
1768665289.9499135,11.127923166666667,77.18607616666667,0.17594,8,-3092,-3492,15844,277,-264,68,
1768665290.0499792,11.127924166666666,77.18607583333333,0.24076000000000003,8,-3152,-3420,15772,279,-247,93,
1768665290.2005124,11.127925166666667,77.1860755,0.100008,8,-3116,-3448,15764,280,-278,80,
1768665290.2502463,11.127925666666666,77.186075,0.14816000000000001,8,-3048,-3408,15916,292,-259,67,
