timestamp,latitude,longitude,speed,satellites,imu_x,imu_y,imu_z,gyro_x,gyro_y,gyro_z,pressure
1768639084.9353917,11.1280385,77.18601733333334,0.25742800000000005,6,-2192,-4224,15696,317,-272,70,
1768639085.0356593,11.1280375,77.18601833333334,0.164828,6,-2244,-4220,15800,317,-282,80,
1768639085.135719,11.128036333333334,77.18601816666667,0.31484000000000006,6,-2208,-4236,15804,300,-264,81,
1768639085.2359004,11.128036,77.186018,0.33336,6,-2296,-4168,15760,270,-289,68,
1768639085.3362005,11.128036166666666,77.186018,0.238908,6,-2228,-4192,15744,307,-512,76,
1768639085.4361398,11.128036,77.186018,0.183348,6,-2240,-4292,16116,331,-302,86,
1768639085.5519373,11.128035333333333,77.18601816666667,0.188904,6,-2220,-4184,15896,281,-290,48,
1768639085.6520016,11.128034666666666,77.18601833333334,0.112972,6,-2256,-4196,15776,274,-243,50,
1768639085.7521,11.128034333333334,77.18601866666667,0.30928400000000006,6,-2356,-4176,15680,277,-236,69,
1768639085.852273,11.128034,77.186019,0.11852800000000001,6,-2260,-4240,15824,321,-320,47,
1768639085.952545,11.128033666666667,77.18601933333333,0.05556,6,-2208,-4164,15812,281,-306,87,
1768639086.0526507,11.1280335,77.18601966666667,0.233352,6,-2224,-4140,15748,268,-3,39,
1768639086.1527252,11.128033166666667,77.18601983333333,0.12964,6,-2172,-4160,15684,273,-241,63,
1768639086.252893,11.128032833333334,77.18602016666667,0.12964,6,-2208,-4188,15756,311,-268,97,
1768639086.3529766,11.1280325,77.18602033333333,0.150012,6,-2180,-4220,15764,283,-261,87,
1768639086.4531405,11.128032166666667,77.1860205,0.068524,6,-2204,-4160,15844,315,-246,76,
1768639086.56896,11.128031833333333,77.18602066666666,0.050004,6,-2224,-4312,15756,293,-271,73,
1768639086.6260455,11.128031333333332,77.18602066666666,0.255576,6,-2232,-4184,15748,327,-277,64,
1768639086.7689428,11.128030833333334,77.18602083333333,0.059264000000000004,6,-2124,-4120,15784,298,-238,22,
1768639086.8690984,11.1280305,77.18602083333333,0.15186400000000003,6,-2212,-4192,15824,288,-228,77,
1768639086.9692993,11.128030166666667,77.186021,0.17594,6,-2324,-4184,15872,313,-272,102,
1768639087.0267718,11.128029833333333,77.186021,0.12038000000000001,6,-2180,-4208,15780,287,-253,80,
1768639087.1279945,11.128029333333334,77.186021,0.135196,6,-2200,-4208,15736,302,-271,78,
1768639087.2271066,11.128029,77.186021,0.038892,6,-2176,-4180,15808,278,-276,72,
1768639087.3697755,11.128028666666667,77.18602116666666,0.150012,6,-2248,-4176,15788,266,-286,86,
1768639087.469896,11.128028,77.18602116666666,0.07408000000000001,6,-2168,-4244,15840,277,-262,59,
1768639087.528241,11.128027666666666,77.18602133333333,0.20927600000000002,6,-2224,-4184,15640,304,-255,83,
1768639087.6358137,11.128027166666667,77.18602133333333,0.144456,6,-2200,-4200,15792,261,-298,103,
1768639087.7359195,11.128026666666667,77.18602133333333,0.190756,6,-2496,-4176,15708,270,-274,51,
1768639087.8361619,11.128026,77.18602133333333,0.25002,6,-2232,-4128,15720,281,-275,76,
1768639087.9363792,11.1280255,77.18602133333333,0.031484000000000005,6,-2264,-4248,16040,279,-267,61,
1768639088.0363472,11.128025,77.1860215,0.08334,6,-2180,-4176,15828,310,-272,48,
1768639088.136417,11.1280245,77.1860215,0.066672,6,-2220,-4192,15772,270,-277,78,
1768639088.236555,11.128024,77.1860215,0.066672,6,-2140,-4192,15768,266,-258,64,
1768639088.3366723,11.128023833333334,77.18602166666666,0.06296800000000001,6,-2256,-4212,15832,285,-275,62,
1768639088.43679,11.128023333333333,77.18602166666666,0.061116000000000004,6,-2212,-4072,15720,273,-243,51,
1768639088.5371993,11.128023,77.18602183333333,0.12593600000000002,6,-2208,-4100,15716,293,-257,103,
1768639088.6504858,11.128022666666666,77.18602183333333,0.1389,6,-2224,-4272,15708,302,-278,49,
1768639088.7503912,11.128022333333334,77.18602183333333,0.272244,6,-2212,-4200,15860,293,-236,76,
1768639088.850504,11.128022,77.18602183333333,0.23705600000000002,6,-2232,-4168,15764,304,-270,80,
1768639088.9506543,11.128021666666667,77.18602183333333,0.10371200000000001,6,-2168,-4240,15828,298,-269,74,
1768639089.050835,11.128007666666667,77.18602183333333,0.144456,9,-2252,-4176,15744,299,-274,61,
1768639089.150876,11.128002833333333,77.18602116666666,0.04630000000000001,9,-2180,-4236,15860,296,-287,36,
1768639089.2512107,11.128000166666666,77.18602016666667,0.068524,9,-2288,-4156,15864,267,-220,36,
1768639089.3510728,11.127998666666667,77.18601933333333,0.162976,9,-2280,-4148,15636,301,-249,73,
1768639089.4511747,11.1279975,77.1860185,0.072228,9,-2284,-4140,15772,287,-263,70,
1768639089.5513802,11.1279965,77.18601766666667,0.018520000000000002,9,-2220,-3884,15788,509,-284,72,
1768639089.6644742,11.127995833333333,77.186017,0.08334,9,-2232,-4196,15756,296,-288,81,
1768639089.7645786,11.127995333333333,77.18601616666666,0.12408400000000001,9,-2240,-4288,15956,282,-506,63,
1768639089.864707,11.127995,77.18601566666666,0.112972,9,-2208,-4172,15696,259,-268,59,
1768639089.9648588,11.1279945,77.186015,0.061116000000000004,9,-2124,-4148,15760,509,-274,58,
1768639090.0652466,11.127994166666667,77.18601433333333,0.12223200000000001,9,-2300,-4044,15716,298,-257,71,
1768639090.1650944,11.127993833333333,77.18601383333333,0.10371200000000001,9,-2168,-4212,15792,292,-288,76,
1768639090.2652628,11.1279935,77.18601333333334,0.059264000000000004,9,-2148,-4180,15660,296,-289,79,
1768639090.36536,11.127993166666666,77.186013,0.11482400000000001,9,-2200,-4344,15756,287,-257,75,
1768639090.465493,11.127993,77.1860125,0.127788,9,-2172,-4336,15760,296,-243,81,
1768639090.5656524,11.127992833333334,77.18601216666667,0.07037600000000001,9,-2164,-4352,15712,286,-311,74,
1768639090.6788344,11.1279925,77.18601166666667,0.08704400000000001,9,-2176,-4204,15764,289,-511,60,
1768639090.7791429,11.127992333333333,77.18601133333334,0.07037600000000001,9,-2188,-4096,15688,278,-276,65,
1768639090.8790567,11.127992,77.186011,0.07037600000000001,9,-2052,-4244,15792,283,-227,55,
1768639090.9792218,11.127991833333333,77.18601066666666,0.038892,9,-2176,-4268,15812,325,-237,113,
1768639091.0793755,11.127991666666667,77.18601033333333,0.116676,9,-2200,-4116,15872,257,-285,93,
1768639091.1794775,11.127991333333334,77.18601,0.088896,9,-2128,-3876,15636,260,-239,55,
1768639091.279599,11.127991166666666,77.18600983333333,0.022224,9,-2232,-4332,15744,310,-10,76,
1768639091.379909,11.127991,77.1860095,0.051856000000000006,9,-2236,-4284,15872,306,-266,85,
1768639091.479844,11.127991,77.18600933333333,0.053708000000000006,9,-2224,-4324,15740,312,-254,22,
1768639091.58002,11.127990833333333,77.18600916666666,0.12593600000000002,9,-2144,-3888,15672,286,-318,113,
1768639091.6433964,11.127990666666667,77.18600883333333,0.053708000000000006,9,-2368,-4176,15784,270,-257,43,
1768639091.74345,11.1279905,77.18600866666667,0.061116000000000004,9,-2272,-4328,15776,511,-278,43,
1768639091.8435452,11.1279905,77.1860085,0.025928000000000003,9,-2212,-4284,15600,310,-279,39,
1768639091.943722,11.127990333333333,77.18600816666667,0.198164,9,-2176,-4308,15824,311,-261,64,
1768639092.045808,11.127990333333333,77.18600816666667,0.11852800000000001,9,-2164,-4224,15776,279,-261,80,
1768639092.1441655,11.127990166666667,77.18600783333333,0.11112,9,-2232,-4216,16092,281,-260,46,
1768639092.2459285,11.127990166666667,77.18600766666667,0.05556,9,-2204,-4180,15720,275,-278,61,
1768639092.3441913,11.127990166666667,77.1860075,0.09074800000000001,9,-2180,-4248,15740,316,-315,97,
1768639092.4442809,11.12799,77.18600733333334,0.109268,9,-2128,-4224,15760,276,-290,69,
1768639092.5443926,11.127990166666667,77.18600716666667,0.09074800000000001,9,-2216,-4248,15844,285,-238,60,
1768639092.660251,11.12799,77.186007,0.08704400000000001,9,-2328,-4136,15844,297,-284,85,
1768639092.7604418,11.127990166666667,77.186007,0.11852800000000001,9,-2140,-4184,15848,273,-245,72,
1768639092.8669307,11.127990166666667,77.18600683333334,0.025928000000000003,9,-2276,-4196,15736,297,-259,52,
1768639092.9605687,11.127990166666667,77.18600666666667,0.105564,9,-2172,-4328,15776,314,-266,75,
1768639093.0606868,11.127990166666667,77.1860065,0.033336,9,-2176,-4200,15716,288,-263,80,
1768639093.1609921,11.127990166666667,77.1860065,0.020372,9,-2260,-4208,15736,285,-270,61,
1768639093.2609653,11.127990166666667,77.18600633333334,0.12038000000000001,9,-2348,-4124,15796,267,-246,86,
1768639093.3611922,11.127990166666667,77.18600633333334,0.105564,9,-2232,-4148,15592,271,-263,72,
1768639093.4614346,11.127990166666667,77.18600616666667,0.100008,9,-2200,-4248,15680,304,-274,72,
1768639093.5614777,11.127990166666667,77.18600616666667,0.05556,9,-2184,-4156,15796,292,-304,50,
1768639093.677324,11.127990166666667,77.186006,0.048152,9,-2228,-4176,15796,297,-272,65,
1768639093.7773564,11.127990166666667,77.186006,0.10186,9,-2292,-4140,15812,259,-303,112,
1768639093.8774683,11.12799,77.186006,0.040744,9,-2180,-4260,15748,303,-261,99,
1768639093.977619,11.12799,77.18600583333334,0.053708000000000006,9,-2256,-4184,15928,288,-258,82,
1768639094.0780222,11.12799,77.18600583333334,0.11112,9,-2172,-4184,15780,285,-268,70,
1768639094.1778805,11.127989833333332,77.18600583333334,0.061116000000000004,9,-2164,-4268,15740,287,-264,59,
1768639094.2779996,11.127989833333332,77.18600583333334,0.050004,9,-2252,-4172,15804,306,-252,77,
1768639094.3781242,11.127989833333332,77.18600566666667,0.109268,9,-2180,-4188,15832,276,-235,66,
1768639094.4369118,11.127989833333332,77.18600566666667,0.088896,9,-2272,-4244,16076,303,-300,46,
1768639094.5783825,11.127989666666666,77.18600566666667,0.07408000000000001,9,-2192,-4252,15740,291,-228,84,
1768639094.6943505,11.127989666666666,77.18600566666667,0.024076,9,-2224,-4228,15804,311,-247,95,
1768639094.744494,11.127989666666666,77.1860055,0.116676,9,-2276,-4116,15756,270,-302,84,
1768639094.8948307,11.127989666666666,77.1860055,0.07408000000000001,9,-2240,-4108,15864,289,-315,67,
1768639094.944862,11.1279895,77.1860055,0.06482,9,-2280,-4220,15796,295,-269,62,
1768639095.0464547,11.1279895,77.18600533333333,0.079636,9,-2216,-4168,15776,299,-311,72,
1768639095.146543,11.127989333333334,77.18600533333333,0.164828,9,-2192,-4232,15672,0,-238,119,
1768639095.2454424,11.127989333333334,77.18600533333333,0.068524,9,-2232,-4212,15784,304,-242,80,
1768639095.3454294,11.127989333333334,77.18600516666666,0.068524,9,-2316,-4296,15740,299,-296,51,
1768639095.4469588,11.127989166666667,77.18600516666666,0.20372,9,-2192,-4140,15728,306,-2,59,
1768639095.5457768,11.127989166666667,77.18600516666666,0.20186800000000002,9,-1324,-4372,15732,312,360,208,
1768639095.646096,11.127989,77.186005,0.10186,9,-1828,-3900,15788,268,-241,115,
1768639095.760857,11.127989,77.186005,0.09815600000000001,9,-1996,-3952,15720,263,-276,148,
1768639095.860683,11.127989,77.186005,0.014816000000000001,9,-1820,-3896,15956,272,-232,103,
1768639095.9605582,11.127989,77.18600483333333,0.11852800000000001,9,-2032,-3968,15856,284,-279,118,
1768639096.060699,11.127989,77.18600483333333,0.10741600000000001,9,-1896,-3840,15884,271,-272,60,
1768639096.160765,11.127988833333333,77.18600483333333,0.037040000000000003,9,-1824,-3908,15912,270,-249,62,
1768639096.2608948,11.127988833333333,77.18600483333333,0.09260000000000002,9,-1852,-3844,15936,265,-232,65,
1768639096.3610075,11.127988833333333,77.18600466666666,0.137048,9,-1804,-3956,15932,298,-272,86,
1768639096.4614027,11.127988666666667,77.18600466666666,0.096304,9,-1764,-3928,15900,301,-511,71,
1768639096.561236,11.127988666666667,77.18600466666666,0.137048,9,-1884,-3972,15848,278,-243,72,
1768639096.6614153,11.127988666666667,77.18600466666666,0.038892,9,-1820,-3904,15928,310,-265,69,
1768639096.7746742,11.1279885,77.18600466666666,0.08334,9,-1780,-4036,16048,285,-269,77,
1768639096.874778,11.1279885,77.1860045,0.150012,9,-1772,-3876,16080,261,-242,54,
1768639096.974913,11.127988333333333,77.1860045,0.011112,9,-1924,-4064,15972,296,-283,44,
1768639097.081202,11.127988333333333,77.1860045,0.06482,12,-1844,-4028,15940,295,-279,98,
1768639097.1753864,11.127988333333333,77.1860045,0.12593600000000002,12,-1856,-3860,15984,313,-273,64,
1768639097.275385,11.127988333333333,77.1860045,0.029632000000000002,12,-1768,-3940,15760,292,-308,70,
1768639097.3755212,11.127988333333333,77.18600466666666,0.048152,12,-1564,-3916,15912,503,-283,48,
1768639097.475634,11.1279885,77.18600483333333,0.10186,12,-1896,-3956,15820,291,-248,80,
1768639097.575739,11.127988666666667,77.186005,0.009260000000000001,12,-1912,-4060,15988,1,-509,72,
1768639097.6759145,11.127988833333333,77.18600516666666,0.025928000000000003,12,-1792,-3948,15976,282,-506,29,
1768639097.7893946,11.127989,77.18600533333333,0.033336,12,-1792,-3888,15972,285,-292,23,
1768639097.8897111,11.127989166666667,77.18600566666667,0.08334,12,-1892,-3948,15896,276,-303,81,
1768639097.9896197,11.127989166666667,77.18600583333334,0.011112,12,-1860,-3892,15976,282,-275,36,
1768639098.0898225,11.127989333333334,77.186006,0.06482,12,-1828,-3908,15860,308,-253,58,
1768639098.1898842,11.1279895,77.18600616666667,0.08704400000000001,12,-2020,-3952,15952,274,-261,51,
1768639098.2900438,11.127989666666666,77.18600633333334,0.06482,12,-1728,-3896,15844,283,-331,49,
1768639098.3452346,11.127989666666666,77.1860065,0.061116000000000004,12,-1680,-3888,15968,303,-244,112,
1768639098.4904835,11.127989833333332,77.18600666666667,0.04630000000000001,12,-2000,-3988,15844,303,-285,73,
1768639098.5903735,11.127989833333332,77.18600683333334,0.042596,12,-1708,-3872,16080,311,-370,16,
1768639098.6905937,11.12799,77.186007,0.061116000000000004,12,-1784,-3972,15652,272,-290,83,
1768639098.7539744,11.127990166666667,77.18600716666667,0.050004,12,-1956,-3876,15816,321,-321,77,
1768639098.8551674,11.127990333333333,77.18600733333334,0.144456,12,-2032,-4080,15644,304,-375,52,
1768639098.954195,11.127990333333333,77.1860075,0.050004,12,-1564,-3808,15904,292,-334,32,
1768639099.061036,11.1279905,77.18600766666667,0.12408400000000001,12,-1748,-3916,15940,326,-280,46,
1768639099.1545541,11.127990666666667,77.18600783333333,0.10186,12,-1840,-3992,15844,317,-283,59,
1768639099.2571154,11.127990666666667,77.18600783333333,0.05556,12,-1672,-3788,16016,291,-306,79,
1768639099.3547351,11.127990833333333,77.186008,0.10371200000000001,12,-1800,-3896,15892,0,-234,58,
