gps_unix_time,lat,lon,sats,speed_kmh,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1772917036.982,10.0023,76.37962,5,0.29,1179,-846,9492,-570,-1679,-98
1772917037.085,10.0023,76.37962,5,0.50,1469,-840,5781,536,-324,-300
1772917037.185,10.0023,76.37962,5,0.28,1845,-372,7250,1018,88,-478
1772917037.295,10.00229,76.37961,5,0.26,-4010,908,1343,1818,600,-1870
1772917037.387,10.00229,76.37961,5,0.26,2692,-877,9690,-764,177,1105
1772917037.485,10.00229,76.3796,5,0.43,-914,2506,8739,-4821,1101,1114
1772917037.597,10.00229,76.37959,5,0.14,1351,5309,11373,-7460,1669,2790
1772917037.688,10.00229,76.37959,5,0.14,-2431,-2130,4412,5793,-749,-2420
1772917037.786,10.00228,76.37959,5,0.10,523,1701,8856,257,20,34
1772917037.886,10.00228,76.37959,5,0.19,222,1128,8058,-666,8,524
1772917037.996,10.00228,76.37957,5,0.55,161,865,7894,-485,134,235
1772917038.089,10.00228,76.37957,5,0.55,180,1179,8492,-101,74,4
1772917038.186,10.00228,76.37957,5,0.43,42,915,8192,-5,-19,-40
1772917038.299,10.00227,76.37956,5,0.46,-39,756,7890,-229,-13,41
1772917038.393,10.00227,76.37956,5,0.46,-12,477,8038,-191,31,-31
1772917038.485,10.00227,76.37956,5,0.46,-111,498,8211,-143,186,18
1772917038.599,10.00227,76.37955,5,0.33,-2125,677,6642,294,1625,-225
1772917038.698,10.00226,76.37955,5,0.11,-3983,868,6511,742,1783,-229
1772917038.785,10.00226,76.37955,5,0.11,-4293,950,6803,39,1188,-44
1772917038.886,10.00226,76.37954,5,0.28,-5030,1299,6170,-56,484,55
1772917038.995,10.00226,76.37954,5,0.15,-5729,819,5138,107,405,-199
1772917039.088,10.00226,76.37954,5,0.15,-5298,659,6742,-33,-480,6
1772917039.186,10.00226,76.37953,5,0.23,-3351,-539,11027,376,-2932,141
1772917039.297,10.00225,76.37952,5,0.63,-8067,-1501,7483,1456,-6603,-1309
1772917039.399,10.00225,76.37952,5,0.63,-1224,1350,1469,54,-2388,-791
1772917039.485,10.00225,76.37952,5,0.95,3202,2505,6149,-185,-1274,-312
1772917039.586,10.00225,76.37951,5,0.21,4757,2748,7713,-65,-237,-132
1772917039.696,10.00225,76.3795,5,0.47,4456,1350,6223,-43,141,115
1772917039.788,10.00225,76.3795,5,0.47,2635,839,3580,263,2620,-232
1772917039.886,10.00225,76.37949,5,0.36,-267,1264,11861,-187,4950,-81
1772917039.995,10.00224,76.37949,5,0.29,-2733,2171,9026,-1010,2589,43
1772917040.088,10.00224,76.37949,5,0.29,-3854,1793,7606,857,-911,609
1772917040.187,10.00224,76.37949,5,0.13,-4303,4630,7038,5062,-849,34
1772917040.295,10.00224,76.37948,5,0.38,-2710,5411,3936,5463,-625,366
1772917040.389,10.00224,76.37948,5,0.38,-2361,6226,-390,1291,-333,-59
1772917040.487,10.00224,76.37947,5,0.50,-2235,7420,-61,-830,-458,26
1772917040.596,10.00223,76.37946,5,0.24,-3429,4877,2392,-6407,-324,215
1772917040.690,10.00223,76.37946,5,0.24,-3790,2105,8165,-8697,128,160
1772917040.788,10.00223,76.37946,5,0.49,-3386,-1895,3973,-1380,-465,-195
1772917040.887,10.00223,76.37946,5,0.31,-1664,-2634,6047,-115,-283,-322
1772917040.995,10.00223,76.37946,5,1.01,-2246,-3491,6736,378,31,-15
1772917041.090,10.00223,76.37946,5,1.01,-1360,791,8119,6009,-293,-418
1772917041.188,10.00223,76.37945,5,0.87,-2214,2348,6556,3248,-781,-670
1772917041.291,10.00222,76.37944,5,0.76,-495,4611,7966,-1025,-36,336
1772917041.399,10.00222,76.37944,5,0.76,-1015,3997,7074,-401,-131,92
1772917041.495,10.00222,76.37944,5,0.53,-873,3330,7720,-578,-183,36
1772917041.586,10.00222,76.37944,5,0.53,-1282,1657,7884,-3683,680,1065
1772917041.686,10.00222,76.37944,5,0.53,-2050,290,9357,-2244,2255,944
1772917041.787,10.00222,76.37943,5,0.45,-1614,-2124,10763,-1797,504,87
1772917041.891,10.00222,76.37943,5,0.65,-3954,-3829,6875,-898,-305,-386
1772917041.988,10.00222,76.37943,5,0.82,-2525,-2558,7504,-544,-410,-702
1772917042.114,10.00222,76.37943,5,0.98,-2670,262,8012,5927,-4,61
1772917042.182,10.00222,76.37943,5,0.98,-2104,2436,12860,8542,-641,-132
1772917042.292,10.00221,76.37942,5,0.24,-4686,-1771,4552,-10055,-655,1005
1772917042.391,10.00221,76.37942,5,0.24,-2924,-7376,6725,9931,-732,-1649
1772917042.495,10.00221,76.37941,5,0.54,-4522,-4483,3603,9360,-1668,-2221
1772917042.591,10.00221,76.37941,5,0.54,-1425,4648,8274,-198,-165,-69
1772917042.693,10.00221,76.3794,5,0.13,-1356,3350,8729,-2036,84,501
1772917042.794,10.00221,76.3794,5,0.13,-1759,1327,8167,-513,81,6
1772917042.887,10.00221,76.3794,5,0.13,-1494,1766,7989,-604,-133,240
1772917042.995,10.00221,76.3794,5,0.06,-1656,515,8400,93,-149,-23
1772917043.097,10.0022,76.37939,5,0.32,-1708,910,8087,404,-174,-83
1772917043.207,10.0022,76.37939,5,0.32,-2550,4591,8892,11847,-469,-1977
1772917043.288,10.0022,76.37939,5,0.32,-1043,6508,8447,-11631,537,1653
1772917043.397,10.0022,76.37939,5,0.35,-1570,419,6933,368,-830,15
1772917043.491,10.0022,76.37939,5,0.26,-1248,1360,9369,-1920,466,326
1772917043.591,10.0022,76.37939,5,0.41,-1803,208,8783,-1482,462,476
1772917043.695,10.0022,76.37939,5,0.14,-1868,-706,9022,-407,52,153
1772917043.792,10.0022,76.37939,5,0.14,-2099,-616,8115,128,-62,-123
1772917043.895,10.0022,76.37938,5,0.07,-1998,-418,7981,-111,-57,31
1772917043.992,10.0022,76.37938,5,0.07,-1990,1061,8693,861,-204,-105
1772917044.094,10.0022,76.37937,5,0.16,-1269,1523,11111,10963,-1376,-2080
1772917044.189,10.0022,76.37937,5,0.16,-1360,2188,7060,-5387,349,539
1772917044.289,10.0022,76.37937,5,0.16,-3251,-2302,4925,4233,-1475,-979
1772917044.394,10.00219,76.37936,5,0.11,-2704,-35,7271,1164,-312,-448
1772917044.497,10.00219,76.37936,5,0.11,-2420,-560,7658,259,-37,22
1772917044.598,10.00219,76.37936,5,0.09,-2164,-491,7967,2,39,74
1772917044.693,10.00219,76.37936,5,0.09,-2356,-217,7850,139,40,-28
1772917044.787,10.00219,76.37936,5,0.09,-2091,-194,8106,-27,-142,51
1772917044.911,10.00219,76.37936,5,0.17,-2170,-621,8027,-174,113,123
1772917044.986,10.00219,76.37936,5,0.17,-2417,-744,7651,-157,61,86
1772917045.094,10.00219,76.37935,5,0.29,-2157,-562,8062,-111,54,71
1772917045.189,10.00219,76.37935,5,0.29,-2047,-141,8474,-119,-188,40
1772917045.304,10.00219,76.37935,5,0.29,-2045,-644,8792,44,-680,175
1772917045.388,10.00219,76.37935,5,0.29,-892,19,8779,-38,-1109,257
1772917045.495,10.00218,76.37934,5,0.46,198,-164,8507,-5,-1245,424
1772917045.593,10.00218,76.37934,5,0.46,78,-1774,7666,30,-1216,176
1772917045.694,10.00218,76.37934,5,0.04,1124,-1050,7556,245,-807,-310
1772917045.798,10.00218,76.37934,5,0.04,2093,-988,8047,-99,-513,-11
1772917045.902,10.00218,76.37934,5,0.48,2608,-1378,7834,-121,-401,-314
1772917045.988,10.00218,76.37934,5,0.48,3283,-597,7641,-96,-530,-430
1772917046.094,10.00218,76.37934,5,0.66,3782,-359,7409,-36,-581,-226
