lat,long,speed,imu_brake,gps_brake,brake_delta,imu_accel,gps_accel,accel_delta
10.9017590,77.0533900,50.11,0.256,0.148,0.108,0.000,0.000,0.000
10.9017650,77.0534000,49.17,0.203,0.137,0.066,0.000,0.000,0.000
10.9017732,77.0534100,48.80,0.186,0.126,0.060,0.000,0.000,0.000
10.9017880,77.0534300,48.31,0.164,0.112,0.051,0.000,0.000,0.000
10.9017950,77.0534436,48.09,0.108,0.096,0.012,0.000,0.000,0.000
10.9018040,77.0534500,47.84,0.100,0.082,0.018,0.000,0.000,0.000
10.9018130,77.0534600,47.15,0.062,0.066,-0.004,0.000,0.000,0.000
10.9018210,77.0534700,46.76,0.018,0.051,-0.033,0.000,0.000,0.000
10.9018400,77.0534800,46.27,0.000,0.036,-0.036,0.028,0.000,0.028
10.9018500,77.0534800,46.44,0.000,0.020,-0.020,0.010,0.000,0.010
10.9018600,77.0534900,46.44,0.000,0.003,-0.003,0.044,0.000,0.044
10.9018700,77.0535000,46.40,0.000,0.000,0.000,0.075,0.013,0.062
10.9018810,77.0535000,46.69,0.000,0.000,0.000,0.100,0.027,0.073
10.9019020,77.0535080,46.81,0.000,0.000,0.000,0.109,0.038,0.072
10.9019140,77.0535100,46.77,0.000,0.000,0.000,0.118,0.045,0.073
10.9019250,77.0535100,47.54,0.000,0.000,0.000,0.095,0.050,0.045
10.9019376,77.0535200,47.80,0.000,0.000,0.000,0.070,0.053,0.017
10.9019500,77.0535200,48.44,0.000,0.000,0.000,0.048,0.052,-0.004
10.9019740,77.0535300,48.85,0.000,0.000,0.000,0.043,0.050,-0.008
10.9019970,77.0535320,48.44,0.000,0.000,0.000,0.033,0.046,-0.013
10.9020070,77.0535320,48.38,0.000,0.000,0.000,0.064,0.042,0.022
10.9020190,77.0535400,49.07,0.000,0.000,0.000,0.020,0.042,-0.022
10.9020290,77.0535500,48.94,0.008,0.000,0.008,0.000,0.044,-0.044
10.9020510,77.0535600,49.60,0.000,0.000,0.000,0.005,0.046,-0.040
10.9020720,77.0535700,49.86,0.014,0.000,0.014,0.000,0.048,-0.048
10.9020910,77.0535900,49.71,0.060,0.000,0.060,0.000,0.048,-0.048
10.9021090,77.0536036,50.99,0.013,0.000,0.013,0.000,0.044,-0.044
10.9021260,77.0536300,51.47,0.000,0.000,0.000,0.009,0.040,-0.031
10.9021350,77.0536320,51.71,0.013,0.000,0.013,0.000,0.037,-0.037
10.9021490,77.0536600,51.77,0.018,0.000,0.018,0.000,0.035,-0.035
10.9021560,77.0536680,51.48,0.014,0.000,0.014,0.000,0.033,-0.033
10.9021620,77.0536800,51.32,0.017,0.000,0.017,0.000,0.031,-0.031
10.9021670,77.0536900,51.02,0.009,0.000,0.009,0.000,0.029,-0.029
10.9021720,77.0537000,50.95,0.000,0.000,0.000,0.018,0.031,-0.013
10.9021800,77.0537300,51.13,0.000,0.000,0.000,0.077,0.035,0.042
10.9021840,77.0537400,51.90,0.000,0.000,0.000,0.085,0.042,0.043
10.9021850,77.0537600,52.16,0.000,0.000,0.000,0.092,0.050,0.041
10.9021880,77.0537680,52.38,0.000,0.000,0.000,0.106,0.059,0.047
10.9021890,77.0537800,52.36,0.000,0.000,0.000,0.098,0.066,0.032
10.9021910,77.0538100,53.22,0.000,0.000,0.000,0.075,0.071,0.004
10.9021900,77.0538240,53.08,0.000,0.000,0.000,0.116,0.074,0.042
10.9021900,77.0538300,53.18,0.000,0.000,0.000,0.115,0.076,0.039
10.9021880,77.0538500,53.67,0.000,0.000,0.000,0.104,0.077,0.027
10.9021840,77.0538800,54.50,0.000,0.000,0.000,0.106,0.080,0.026
10.9021800,77.0538960,54.92,0.000,0.000,0.000,0.085,0.082,0.003
10.9021760,77.0539000,54.95,0.000,0.000,0.000,0.048,0.087,-0.039
10.9021720,77.0539200,55.09,0.000,0.000,0.000,0.038,0.091,-0.054
10.9021660,77.0539300,55.35,0.000,0.000,0.000,0.018,0.097,-0.079
10.9021560,77.0539520,56.14,0.000,0.000,0.000,0.021,0.102,-0.081
10.9021490,77.0539700,56.27,0.000,0.000,0.000,0.059,0.109,-0.050
10.9021430,77.0539800,57.15,0.000,0.000,0.000,0.122,0.116,0.006
10.9021340,77.0539900,57.03,0.000,0.000,0.000,0.161,0.124,0.036
10.9021180,77.0540160,57.97,0.000,0.000,0.000,0.209,0.133,0.075
10.9021090,77.0540300,58.59,0.000,0.000,0.000,0.236,0.142,0.095
10.9021000,77.0540500,59.38,0.000,0.000,0.000,0.273,0.149,0.124
10.9020900,77.0540560,59.75,0.000,0.000,0.000,0.260,0.156,0.104
10.9020690,77.0540800,60.80,0.000,0.000,0.000,0.237,0.161,0.076
10.9020590,77.0540900,61.59,0.000,0.000,0.000,0.208,0.166,0.042
10.9020470,77.0541000,62.30,0.000,0.000,0.000,0.214,0.168,0.046
10.9020360,77.0541160,62.71,0.000,0.000,0.000,0.204,0.171,0.033
10.9020120,77.0541400,64.42,0.000,0.000,0.000,0.236,0.172,0.064
10.9019990,77.0541480,64.63,0.000,0.000,0.000,0.276,0.171,0.105
10.9019870,77.0541600,65.19,0.000,0.000,0.000,0.299,0.166,0.132
10.9019750,77.0541700,65.78,0.000,0.000,0.000,0.256,0.160,0.096
10.9019620,77.0541800,66.53,0.000,0.000,0.000,0.211,0.152,0.059
10.9019360,77.0542000,67.78,0.000,0.000,0.000,0.162,0.142,0.021
10.9019220,77.0542160,68.37,0.000,0.000,0.000,0.105,0.132,-0.027
10.9019080,77.0542200,68.77,0.000,0.000,0.000,0.081,0.122,-0.041
10.9018800,77.0542480,69.83,0.000,0.000,0.000,0.093,0.114,-0.021
10.9018660,77.0542600,70.02,0.000,0.000,0.000,0.114,0.105,0.009
10.9018530,77.0542700,70.07,0.000,0.000,0.000,0.126,0.096,0.030
10.9018380,77.0542680,70.31,0.000,0.000,0.000,0.172,0.090,0.082
10.9018240,77.0542900,70.46,0.000,0.000,0.000,0.171,0.086,0.085
10.9017940,77.0543080,71.28,0.000,0.000,0.000,0.145,0.083,0.062
10.9017650,77.0543300,71.52,0.000,0.000,0.000,0.119,0.081,0.039
10.9017500,77.0543440,71.86,0.000,0.000,0.000,0.094,0.080,0.014
10.9017340,77.0543500,72.22,0.000,0.000,0.000,0.050,0.078,-0.028
10.9017190,77.0543600,72.83,0.000,0.000,0.000,0.049,0.074,-0.025
10.9017050,77.0543760,73.10,0.000,0.000,0.000,0.047,0.069,-0.022
10.9016740,77.0544000,73.13,0.000,0.000,0.000,0.048,0.063,-0.016
10.9016590,77.0544080,74.07,0.000,0.000,0.000,0.038,0.057,-0.019
10.9016440,77.0544100,74.30,0.000,0.000,0.000,0.040,0.050,-0.010
10.9016284,77.0544300,74.26,0.000,0.000,0.000,0.017,0.042,-0.025
10.9015980,77.0544500,74.04,0.000,0.000,0.000,0.024,0.034,-0.010
10.9015820,77.0544600,74.28,0.000,0.000,0.000,0.013,0.027,-0.014
10.9015660,77.0544700,74.31,0.007,0.000,0.007,0.000,0.019,-0.019
10.9015500,77.0544800,74.64,0.014,0.000,0.014,0.000,0.012,-0.012
10.9015190,77.0545000,74.59,0.008,0.000,0.008,0.000,0.005,-0.005
10.9015030,77.0545100,74.42,0.049,0.000,0.049,0.000,0.000,-0.000
10.9014870,77.0545200,74.67,0.072,0.006,0.067,0.000,0.000,0.000
10.9014710,77.0545300,74.92,0.100,0.011,0.089,0.000,0.000,0.000
10.9014560,77.0545400,74.49,0.121,0.015,0.105,0.000,0.000,0.000
10.9014410,77.0545500,74.05,0.117,0.019,0.098,0.000,0.000,0.000
10.9014080,77.0545700,74.34,0.123,0.023,0.101,0.000,0.000,0.000
10.9013930,77.0545800,74.18,0.124,0.026,0.098,0.000,0.000,0.000
10.9013770,77.0545900,73.84,0.140,0.027,0.113,0.000,0.000,0.000
10.9013610,77.0545968,73.79,0.147,0.027,0.120,0.000,0.000,0.000
10.9013450,77.0546100,73.69,0.162,0.026,0.136,0.000,0.000,0.000
10.9013150,77.0546300,73.52,0.144,0.025,0.119,0.000,0.000,0.000
10.9012990,77.0546400,73.51,0.139,0.024,0.115,0.000,0.000,0.000
10.9012830,77.0546500,73.39,0.113,0.023,0.090,0.000,0.000,0.000
10.9012520,77.0546640,73.42,0.126,0.024,0.102,0.000,0.000,0.000
10.9012370,77.0546800,72.98,0.115,0.025,0.090,0.000,0.000,0.000
10.9012210,77.0546900,72.92,0.093,0.026,0.067,0.000,0.000,0.000
10.9012050,77.0546960,73.14,0.083,0.027,0.057,0.000,0.000,0.000
10.9011900,77.0547100,73.20,0.060,0.027,0.032,0.000,0.000,0.000
10.9011740,77.0547200,73.15,0.025,0.027,-0.002,0.000,0.000,0.000
10.9011420,77.0547300,72.49,0.036,0.026,0.011,0.000,0.000,0.000
10.9011260,77.0547400,72.30,0.065,0.024,0.040,0.000,0.000,0.000
10.9011100,77.0547500,72.15,0.051,0.023,0.028,0.000,0.000,0.000
10.9010940,77.0547568,72.08,0.052,0.022,0.030,0.000,0.000,0.000
10.9010610,77.0547700,72.15,0.099,0.020,0.079,0.000,0.000,0.000
10.9010450,77.0547900,72.14,0.110,0.019,0.092,0.000,0.000,0.000
10.9010290,77.0547920,72.08,0.114,0.021,0.093,0.000,0.000,0.000
10.9010110,77.0547920,71.79,0.157,0.027,0.130,0.000,0.000,0.000
10.9009610,77.0548200,72.14,0.166,0.035,0.131,0.000,0.000,0.000
10.9009440,77.0548240,72.04,0.204,0.045,0.159,0.000,0.000,0.000
10.9009270,77.0548300,71.84,0.188,0.054,0.134,0.000,0.000,0.000
10.9008930,77.0548400,71.26,0.185,0.067,0.118,0.000,0.000,0.000
10.9008760,77.0548500,71.37,0.169,0.078,0.091,0.000,0.000,0.000
10.9008600,77.0548560,70.90,0.215,0.100,0.115,0.000,0.000,0.000
10.9008430,77.0548560,70.49,0.181,0.121,0.060,0.000,0.000,0.000
10.9008100,77.0548700,69.33,0.203,0.139,0.065,0.000,0.000,0.000
10.9007790,77.0548700,67.76,0.179,0.147,0.033,0.000,0.000,0.000
10.9007480,77.0548800,65.71,0.261,0.151,0.110,0.000,0.000,0.000
10.9007170,77.0548800,64.37,0.152,0.142,0.010,0.000,0.000,0.000
10.9006850,77.0548800,63.08,0.125,0.125,-0.001,0.000,0.000,0.000
10.9006690,77.0548800,63.23,0.136,0.105,0.031,0.000,0.000,0.000
10.9006530,77.0548800,62.76,0.160,0.082,0.078,0.000,0.000,0.000
10.9006380,77.0548800,62.33,0.079,0.058,0.021,0.000,0.000,0.000
10.9006210,77.0548700,62.62,0.118,0.033,0.085,0.000,0.000,0.000
10.9005890,77.0548600,63.22,0.101,0.015,0.086,0.000,0.000,0.000
10.9005740,77.0548600,63.33,0.095,0.004,0.091,0.000,0.000,0.000
10.9005580,77.0548560,63.50,0.076,0.000,0.076,0.000,0.001,-0.001
10.9005260,77.0548500,64.48,0.052,0.000,0.052,0.000,0.004,-0.004
10.9005120,77.0548400,64.01,0.070,0.000,0.070,0.000,0.004,-0.004
10.9004970,77.0548300,63.53,0.070,0.000,0.070,0.000,0.004,-0.004
10.9004830,77.0548240,63.12,0.071,0.000,0.071,0.000,0.005,-0.005
10.9004690,77.0548200,62.94,0.078,0.000,0.078,0.000,0.008,-0.008
10.9004400,77.0548000,62.67,0.069,0.000,0.069,0.000,0.012,-0.012
10.9004270,77.0547920,62.77,0.049,0.000,0.049,0.000,0.019,-0.019
10.9004136,77.0547800,63.04,0.022,0.000,0.022,0.000,0.030,-0.030
10.9004000,77.0547700,63.56,0.000,0.000,0.000,0.017,0.043,-0.026
10.9003750,77.0547500,64.60,0.000,0.000,0.000,0.035,0.055,-0.020
10.9003640,77.0547400,64.01,0.000,0.000,0.000,0.012,0.066,-0.054
10.9003528,77.0547280,63.96,0.000,0.000,0.000,0.005,0.077,-0.072
10.9003400,77.0547200,64.37,0.000,0.000,0.000,0.004,0.087,-0.082
10.9003150,77.0546960,65.57,0.000,0.000,0.000,0.005,0.096,-0.091
10.9003040,77.0546900,66.00,0.000,0.000,0.000,0.011,0.105,-0.094
10.9002940,77.0546700,65.57,0.000,0.000,0.000,0.040,0.113,-0.073
10.9002850,77.0546600,65.86,0.000,0.000,0.000,0.053,0.121,-0.068
10.9002650,77.0546300,67.49,0.000,0.000,0.000,0.052,0.125,-0.073
10.9002550,77.0546100,67.70,0.000,0.000,0.000,0.087,0.125,-0.038
10.9002460,77.0545968,68.52,0.000,0.000,0.000,0.099,0.121,-0.022
10.9002370,77.0545800,69.11,0.003,0.000,0.003,0.000,0.114,-0.114
10.9002280,77.0545680,69.87,0.000,0.000,0.000,0.008,0.102,-0.093
10.9002100,77.0545360,70.66,0.000,0.000,0.000,0.030,0.086,-0.055
10.9002030,77.0545200,70.91,0.061,0.000,0.061,0.000,0.068,-0.068
10.9001950,77.0545000,70.81,0.129,0.000,0.129,0.000,0.048,-0.048
10.9001868,77.0544800,71.22,0.116,0.000,0.116,0.000,0.028,-0.028
10.9001810,77.0544700,70.81,0.097,0.000,0.097,0.000,0.010,-0.010
10.9001740,77.0544500,70.99,0.133,0.005,0.128,0.000,0.000,0.000
10.9001610,77.0544100,70.71,0.064,0.016,0.048,0.000,0.000,0.000
10.9001550,77.0544000,70.34,0.000,0.019,-0.019,0.004,0.000,0.004
10.9001500,77.0543800,70.32,0.000,0.015,-0.015,0.062,0.000,0.062
10.9001460,77.0543700,70.45,0.002,0.005,-0.003,0.000,0.000,0.000
10.9001410,77.0543440,70.04,0.000,0.000,0.000,0.002,0.008,-0.006
10.9001360,77.0543100,69.08,0.007,0.000,0.007,0.000,0.024,-0.024
10.9001330,77.0542900,69.36,0.023,0.000,0.023,0.000,0.040,-0.040
10.9001310,77.0542680,69.83,0.029,0.000,0.029,0.000,0.054,-0.054
10.9001280,77.0542500,70.42,0.000,0.000,0.000,0.021,0.063,-0.042
10.9001260,77.0542400,70.76,0.000,0.000,0.000,0.011,0.070,-0.059
10.9001230,77.0542000,72.01,0.018,0.000,0.018,0.000,0.071,-0.071
10.9001200,77.0541600,72.79,0.051,0.000,0.051,0.000,0.065,-0.065
10.9001190,77.0541480,72.96,0.062,0.000,0.062,0.000,0.055,-0.055
10.9001180,77.0541200,73.16,0.117,0.000,0.117,0.000,0.042,-0.042
10.9001170,77.0541100,73.25,0.117,0.000,0.117,0.000,0.026,-0.026
10.9001150,77.0540700,73.18,0.147,0.000,0.147,0.000,0.009,-0.009
10.9001140,77.0540500,73.36,0.146,0.007,0.139,0.000,0.000,0.000
10.9001140,77.0540300,73.01,0.152,0.023,0.129,0.000,0.000,0.000
10.9001130,77.0540160,72.73,0.132,0.038,0.094,0.000,0.000,0.000
10.9001120,77.0539800,72.42,0.125,0.052,0.073,0.000,0.000,0.000
10.9001120,77.0539520,72.31,0.114,0.064,0.050,0.000,0.000,0.000
10.9001120,77.0539400,71.95,0.138,0.075,0.063,0.000,0.000,0.000
10.9001120,77.0539280,71.87,0.166,0.085,0.081,0.000,0.000,0.000
10.9001120,77.0539000,71.67,0.197,0.094,0.103,0.000,0.000,0.000
10.9001110,77.0538700,70.82,0.233,0.103,0.131,0.000,0.000,0.000
10.9001120,77.0538500,70.46,0.212,0.111,0.101,0.000,0.000,0.000
10.9001120,77.0538300,69.68,0.209,0.118,0.091,0.000,0.000,0.000
10.9001120,77.0538200,69.29,0.168,0.125,0.042,0.000,0.000,0.000
10.9001130,77.0537920,69.09,0.150,0.131,0.019,0.000,0.000,0.000
10.9001130,77.0537680,68.05,0.124,0.134,-0.010,0.000,0.000,0.000
10.9001140,77.0537500,67.38,0.150,0.137,0.014,0.000,0.000,0.000
10.9001140,77.0537360,66.84,0.154,0.138,0.016,0.000,0.000,0.000
10.9001150,77.0537100,66.50,0.158,0.136,0.021,0.000,0.000,0.000
10.9001160,77.0536920,65.81,0.140,0.134,0.005,0.000,0.000,0.000
10.9001170,77.0536680,65.03,0.224,0.133,0.091,0.000,0.000,0.000
10.9001170,77.0536500,64.37,0.130,0.130,-0.000,0.000,0.000,0.000
10.9001170,77.0536320,63.88,0.117,0.129,-0.012,0.000,0.000,0.000
10.9001180,77.0536200,63.61,0.132,0.129,0.002,0.000,0.000,0.000
10.9001180,77.0536036,63.37,0.221,0.130,0.091,0.000,0.000,0.000
10.9001200,77.0535500,61.76,0.160,0.130,0.031,0.000,0.000,0.000
10.9001210,77.0535400,61.28,0.311,0.128,0.183,0.000,0.000,0.000
10.9001220,77.0535200,61.21,0.330,0.126,0.204,0.000,0.000,0.000
10.9001230,77.0535100,60.23,0.331,0.126,0.205,0.000,0.000,0.000
10.9001260,77.0534800,59.71,0.280,0.125,0.155,0.000,0.000,0.000
10.9001280,77.0534700,58.93,0.297,0.123,0.174,0.000,0.000,0.000
10.9001300,77.0534500,58.57,0.209,0.121,0.088,0.000,0.000,0.000
10.9001360,77.0534300,57.88,0.170,0.120,0.050,0.000,0.000,0.000
10.9001400,77.0534100,57.32,0.155,0.116,0.039,0.000,0.000,0.000
10.9001440,77.0534000,56.87,0.155,0.113,0.042,0.000,0.000,0.000
10.9001480,77.0533900,56.52,0.135,0.113,0.023,0.000,0.000,0.000
10.9001530,77.0533760,56.31,0.155,0.115,0.040,0.000,0.000,0.000
10.9001650,77.0533500,55.36,0.180,0.118,0.063,0.000,0.000,0.000
10.9001700,77.0533400,55.22,0.193,0.115,0.078,0.000,0.000,0.000
10.9001770,77.0533300,54.91,0.218,0.113,0.106,0.000,0.000,0.000
10.9001840,77.0533160,54.41,0.234,0.109,0.125,0.000,0.000,0.000
10.9001910,77.0533100,53.84,0.231,0.104,0.127,0.000,0.000,0.000
10.9001990,77.0532900,53.12,0.223,0.097,0.126,0.000,0.000,0.000
10.9002170,77.0532736,52.00,0.156,0.092,0.064,0.000,0.000,0.000
10.9002270,77.0532700,51.62,0.111,0.083,0.028,0.000,0.000,0.000
10.9002490,77.0532500,50.46,0.062,0.075,-0.013,0.000,0.000,0.000
10.9002710,77.0532400,51.33,0.018,0.066,-0.048,0.000,0.000,0.000
10.9002950,77.0532200,51.12,0.000,0.058,-0.058,0.004,0.000,0.004
10.9003190,77.0532160,50.12,0.000,0.053,-0.053,0.018,0.000,0.018
10.9003440,77.0532100,49.75,0.000,0.050,-0.050,0.065,0.000,0.065
10.9003560,77.0532100,49.31,0.000,0.043,-0.043,0.058,0.000,0.058
10.9003700,77.0532100,49.64,0.000,0.035,-0.035,0.021,0.000,0.021
10.9003820,77.0532100,49.01,0.000,0.025,-0.025,0.065,0.000,0.065
10.9004070,77.0532100,48.73,0.000,0.013,-0.013,0.040,0.000,0.040
10.9004200,77.0532100,48.57,0.000,0.001,-0.001,0.078,0.000,0.078
10.9004330,77.0532160,48.62,0.000,0.000,0.000,0.112,0.011,0.101
10.9004460,77.0532160,49.28,0.000,0.000,0.000,0.201,0.024,0.177
10.9004710,77.0532200,49.58,0.000,0.000,0.000,0.211,0.035,0.176
10.9004830,77.0532300,49.86,0.000,0.000,0.000,0.243,0.046,0.197
10.9004950,77.0532300,49.86,0.000,0.000,0.000,0.201,0.056,0.146
10.9005060,77.0532400,49.90,0.000,0.000,0.000,0.176,0.064,0.112
10.9005180,77.0532480,50.37,0.000,0.000,0.000,0.124,0.072,0.053
10.9005400,77.0532600,50.60,0.000,0.000,0.000,0.110,0.079,0.031
10.9005510,77.0532700,50.98,0.000,0.000,0.000,0.128,0.085,0.043
10.9005600,77.0532736,51.13,0.000,0.000,0.000,0.173,0.089,0.083
10.9005720,77.0532900,51.68,0.000,0.000,0.000,0.225,0.093,0.132
10.9005810,77.0533000,51.86,0.000,0.000,0.000,0.227,0.094,0.133
10.9005990,77.0533200,53.09,0.000,0.000,0.000,0.211,0.094,0.117
10.9006070,77.0533400,53.46,0.000,0.000,0.000,0.152,0.092,0.060
10.9006150,77.0533480,53.95,0.000,0.000,0.000,0.079,0.090,-0.011
