tick_ms,row_type,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,lat,lon,alt,speed,sats,vbat,gps_epoch,imu_sensor_us
19790,M,,,,,,,MARKER,LOG_OPEN,1,sess_004.csv,,4.17,,
19795,M,,,,,,,MARKER,IMU_PROFILE,2,"{""id"": ""tank"", ""calibration_version"": 1, ""vibration"": {""delta_acc_rms"": [0.00725, 0.00173, 0.0], ""static_acc_rms"": [0.0283, 0.16601, 0.96043], ""engine_acc_rms"": [0.03555, 0.16774, 0.95971]}, ""accel_bias"": [0.0, 0.0, 0.0], ""gravity_vector"": [0.0282, 0.16601, 0.96043], ""mount_tilt"": {""pitch_deg"": 16.13, ""roll_deg"": 9.66}, ""name"": ""TANK-186"", ""label"": ""tank"", ""quality_score"": 0.675, ""rotation_matrix"": [[-0.025531, 0.985192, -0.169541], [-0.999256, -0.020244, 0.032839], [0.028921, 0.170253, 0.984976]], ""created_at"": 130, ""captures"": {""lean_left"": {""acc_mean"": [-0.41919, 0.15128, 0.86274], ""count"": 151, ""gyro_mean"": [1.30189, 4.0466, -0.60007], ""gyro_rms"": [2.89188, 4.26308, 0.93612], ""acc_rms"": [0.41921, 0.15174, 0.86276]}, ""static"": {""acc_mean"": [0.0282, 0.16601, 0.96043], ""count"": 151, ""gyro_mean"": [0.86577, 2.32636, -0.0214], ""gyro_rms"": [0.97336, 3.34617, 0.41572], ""acc_rms"": [0.0283, 0.16601, 0.96043]}, ""lean_right"": {""acc_mean"": [0.49564, 0.16999, 0.8337], ""count"": 150, ""gyro_mean"": [1.3252, -2.0874, 1.36057], ""gyro_rms"": [2.80002, 6.33389, 2.02711], ""acc_rms"": [0.49569, 0.17022, 0.83372]}, ""engine"": {""acc_mean"": [0.0354, 0.16772, 0.9597], ""count"": 150, ""gyro_mean"": [0.97358, 2.10244, 0.01423], ""gyro_rms"": [1.93751, 2.66856, 0.4087], ""acc_rms"": [0.03555, 0.16774, 0.95971]}, ""push_forward"": {""acc_mean"": [0.02917, 0.1599, 0.96172], ""count"": 184, ""gyro_mean"": [-1.41768, 11.59034, -3.90807], ""gyro_rms"": [6.52178, 26.49046, 6.62568], ""acc_rms"": [0.03538, 0.1608, 0.96176]}}, ""gyro_bias"": [0.86577, 2.32636, -0.0214]}",,4.17,,
19799,I,0.0967,0.1882,1.3905,-299.88,-52.93,-386.83,,,,,,,,1020000
19819,I,0.1141,0.3031,1.3542,-344.09,-35.55,-378.11,,,,,,,,1040000
19839,I,0.0385,0.0940,1.2267,-360.06,-44.27,-390.00,,,,,,,,1060000
19859,I,0.0430,0.0221,1.1039,-333.11,-52.56,-380.24,,,,,,,,1080000
19879,I,0.0966,0.0322,1.0872,-332.07,-48.11,-382.01,,,,,,,,1100000
19899,I,0.1379,0.0463,1.2079,-310.00,-25.73,-391.65,,,,,,,,1120000
19919,I,0.1704,0.1887,1.3263,-289.21,20.49,-387.62,,,,,,,,1140000
19939,I,0.2115,0.2423,1.3729,-309.88,62.32,-394.57,,,,,,,,1160000
19959,I,0.1909,0.1431,1.3418,-332.20,97.44,-403.29,,,,,,,,1180000
19979,I,0.1686,0.0894,1.3007,-320.91,124.88,-400.85,,,,,,,,1200000
19999,I,0.1752,0.1858,1.2150,-331.16,154.51,-407.26,,,,,,,,1220000
20019,I,0.1296,0.1831,1.1820,-353.90,177.74,-418.60,,,,,,,,1240000
20039,I,0.0475,0.0760,1.1724,-351.04,170.91,-414.09,,,,,,,,1260000
20059,I,0.0302,0.0259,1.1702,-347.74,134.33,-404.63,,,,,,,,1280000
20079,I,0.0599,-0.0790,1.1259,-311.77,99.70,-400.12,,,,,,,,1300000
20099,I,0.0714,-0.0498,1.0834,-263.35,95.37,-371.65,,,,,,,,1320000
20119,I,0.0695,0.0537,1.0592,-236.16,96.77,-338.05,,,,,,,,1340000
20139,I,0.0989,0.0592,1.1686,-235.73,97.01,-317.68,,,,,,,,1360000
20159,I,0.1208,0.0844,1.2756,-225.49,89.33,-300.00,,,,,,,,1380000
20179,I,0.1266,0.0618,1.2031,-219.33,84.88,-287.99,,,,,,,,1400000
20199,I,0.0890,0.0088,1.0680,-205.55,74.45,-280.67,,,,,,,,1420000
20219,I,0.0521,-0.0121,1.0393,-175.49,59.82,-267.87,,,,,,,,1440000
20239,I,0.0739,0.0476,1.1315,-160.12,45.18,-267.68,,,,,,,,1460000
20259,I,0.0952,0.0726,1.1949,-171.22,37.68,-274.63,,,,,,,,1480000
20279,I,0.0468,0.0107,1.1060,-176.16,21.28,-275.85,,,,,,,,1500000
20299,I,-0.0304,0.0162,1.0292,-162.13,-21.04,-269.70,,,,,,,,1520000
20319,I,-0.0211,0.1143,1.0911,-172.74,-73.11,-270.18,,,,,,,,1540000
20339,I,0.0219,0.0806,1.1831,-207.99,-109.15,-282.07,,,,,,,,1560000
20359,I,0.0403,-0.0792,1.0732,-210.37,-135.24,-290.18,,,,,,,,1580000
20379,I,0.0319,-0.0981,0.9287,-183.78,-151.89,-286.40,,,,,,,,1600000
20399,I,0.0693,0.0383,1.0728,-183.84,-159.57,-277.56,,,,,,,,1620000
20419,I,0.0894,0.1234,1.2654,-199.82,-155.91,-282.93,,,,,,,,1640000
20439,I,0.1073,0.1194,1.2709,-211.89,-157.50,-290.73,,,,,,,,1660000
20459,I,0.0837,0.0814,1.1172,-241.28,-157.38,-292.38,,,,,,,,1680000
20479,I,0.0481,-0.0233,0.9923,-262.13,-163.66,-297.32,,,,,,,,1700000
20499,I,0.0527,-0.0616,1.0353,-240.30,-182.01,-305.49,,,,,,,,1720000
20519,I,0.1161,0.1537,1.2788,-247.74,-185.85,-321.04,,,,,,,,1740000
20539,I,0.1030,0.1646,1.2969,-294.15,-166.34,-343.90,,,,,,,,1760000
20559,I,0.0911,0.0085,1.2074,-302.68,-153.35,-351.16,,,,,,,,1780000
20579,I,0.0968,0.0133,1.1858,-293.60,-146.59,-353.11,,,,,,,,1800000
20599,I,0.0868,0.0280,1.1704,-313.23,-135.73,-362.50,,,,,,,,1820000
20619,I,0.0847,0.0287,1.2106,-315.43,-130.12,-372.26,,,,,,,,1840000
20639,I,0.1219,0.1117,1.2657,-319.15,-119.21,-380.67,,,,,,,,1860000
20659,I,0.1300,0.0975,1.2504,-335.91,-92.74,-386.83,,,,,,,,1880000
20679,I,0.1223,0.0193,1.2207,-332.13,-72.13,-383.29,,,,,,,,1900000
20699,I,0.1077,-0.0237,1.2299,-319.88,-53.17,-380.24,,,,,,,,1920000
20719,I,0.1243,0.0367,1.2406,-320.43,-32.62,-381.59,,,,,,,,1940000
20739,I,0.1167,0.0610,1.2799,-338.17,-10.61,-380.18,,,,,,,,1960000
20759,I,0.1024,0.0586,1.3218,-351.95,8.54,-381.59,,,,,,,,1980000
20779,I,0.0885,-0.0267,1.2463,-332.93,12.87,-380.85,,,,,,,,2000000
20799,I,0.0911,0.0139,1.2360,-309.27,19.02,-372.13,,,,,,,,2020000
20819,I,0.1323,0.0479,1.2751,-304.27,33.23,-374.70,,,,,,,,2040000
20839,I,0.1335,-0.0219,1.2112,-318.90,61.28,-373.48,,,,,,,,2060000
20859,I,0.1316,0.0026,1.2609,-307.80,90.00,-364.94,,,,,,,,2080000
