timestamp,lat,lon,speed_kmh,sats,alt,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
155027.00,10.002102,76.379211,0.13,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155027.10,10.002104,76.379219,0.11,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155027.20,10.002105,76.379219,0.11,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155027.30,10.002107,76.379219,0.18,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155027.40,10.002108,76.379227,0.09,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155027.50,10.002109,76.379227,0.06,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155027.60,10.002109,76.379227,0.06,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155027.70,10.002110,76.379227,0.10,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155027.80,10.002110,76.379227,0.10,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155027.90,10.002110,76.379234,0.18,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155028.00,10.002111,76.379234,0.07,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155028.10,10.002111,76.379234,0.10,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155028.20,10.002112,76.379234,0.04,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155028.30,10.002112,76.379234,0.13,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155028.40,10.002113,76.379234,0.11,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155028.50,10.002113,76.379234,0.10,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155028.60,10.002113,76.379234,0.09,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155028.70,10.002114,76.379234,0.07,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155028.80,10.002114,76.379234,0.16,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155028.90,10.002114,76.379234,0.06,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155029.00,10.002114,76.379234,0.30,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155029.20,10.002114,76.379234,0.09,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155029.30,10.002114,76.379234,0.28,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155029.40,10.002114,76.379234,0.19,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155029.50,10.002114,76.379234,0.11,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155029.60,10.002115,76.379234,0.20,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155029.70,10.002115,76.379234,0.08,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155029.80,10.002115,76.379234,0.16,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155029.90,10.002115,76.379234,0.24,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155030.00,10.002115,76.379234,0.11,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155030.10,10.002115,76.379242,0.13,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155030.20,10.002116,76.379242,0.23,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155030.30,10.002116,76.379242,0.08,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155030.40,10.002116,76.379242,0.14,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155030.50,10.002116,76.379242,0.09,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155030.60,10.002116,76.379242,0.21,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155030.70,10.002116,76.379242,0.05,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155030.80,10.002116,76.379242,0.07,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155030.90,10.002116,76.379242,0.09,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155031.00,10.002116,76.379242,0.09,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155031.10,10.002117,76.379242,0.16,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155031.20,10.002117,76.379242,0.23,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155031.30,10.002117,76.379242,0.22,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155031.40,10.002117,76.379242,0.15,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155031.50,10.002117,76.379242,0.12,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155031.60,10.002117,76.379242,0.13,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155031.70,10.002118,76.379242,0.10,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155031.80,10.002118,76.379242,0.07,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155031.90,10.002118,76.379242,0.06,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155032.00,10.002118,76.379242,0.14,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
155032.10,10.002118,76.379242,0.20,12,0,1.234567,-0.456789,9.806650,0.123456,-0.789012,0.456789
