tick_ms,row_type,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,lat,lon,alt,speed,sats,vbat
30234,I,0.1246,-0.0016,0.8749,-1.46,0.91,0.06,,,,,,
30244,I,0.2853,-0.0653,0.6995,-1.77,-1.34,0.37,,,,,,
30263,I,0.1855,0.0237,1.2869,0.49,2.56,-0.55,,,,,,
30273,I,0.1553,0.0359,1.1013,0.49,2.56,-0.55,,,,,,
30283,I,0.3204,-0.0402,0.7200,1.65,1.83,-0.67,,,,,,
30293,I,0.1821,-0.0142,0.9656,2.07,2.38,-0.79,,,,,,
30303,I,0.1156,0.0706,1.2874,0.49,0.06,-0.06,,,,,,
30313,I,0.1628,0.0015,0.9247,0.24,-0.55,0.06,,,,,,
30323,I,0.2804,-0.0066,0.7654,2.87,-0.12,-0.73,,,,,,
30333,I,0.2373,0.0198,1.1815,2.87,-0.12,-0.73,,,,,,
30343,I,0.1025,0.0853,1.1909,3.17,3.54,-0.79,,,,,,
30353,I,0.1876,0.0022,0.7538,-0.79,-0.12,-0.18,,,,,,
30363,I,0.2122,-0.0387,0.8571,-0.06,-0.49,-0.43,,,,,,
30373,I,0.1741,0.0747,1.2974,2.74,0.91,-0.91,,,,,,
30383,I,0.1288,0.0491,1.0469,0.12,2.07,-0.67,,,,,,
30393,I,0.3186,-0.0278,0.7321,1.10,-2.38,0.24,,,,,,
30403,I,0.1376,0.0201,1.0160,2.13,2.01,-0.85,,,,,,
30413,I,0.1079,0.0695,1.2423,1.22,1.65,-0.73,,,,,,
30423,I,0.1305,0.0150,0.9449,-0.06,0.06,-0.24,,,,,,
30433,I,0.2605,-0.0021,0.7629,0.18,-0.91,0.12,,,,,,
30443,I,0.2208,0.0164,1.1405,2.26,-0.18,-0.73,,,,,,
30453,I,0.1039,0.0764,1.1873,-0.55,0.12,-0.12,,,,,,
30473,I,0.2195,-0.0343,0.8325,2.01,1.34,-0.79,,,,,,
30483,I,0.1465,0.0817,1.3240,0.06,1.95,-0.37,,,,,,
30493,I,0.1024,0.0483,1.0186,1.22,-2.80,0.30,,,,,,
30503,I,0.3273,-0.0172,0.6907,2.07,2.26,-0.73,,,,,,
30513,I,0.1201,0.0494,1.1929,2.07,2.26,-0.73,,,,,,
30523,I,0.0443,0.0780,1.2397,0.18,2.62,-0.49,,,,,,
30533,I,0.2482,-0.0182,0.5996,-1.10,-1.59,0.24,,,,,,
30543,I,0.2131,-0.0078,1.0300,1.95,-1.10,0.00,,,,,,
30553,I,0.0853,0.0928,1.2848,1.28,3.17,-0.91,,,,,,
30563,I,0.2388,0.0092,0.7305,0.12,-1.22,0.43,,,,,,
30573,I,0.1912,-0.0020,0.9031,0.91,-0.06,-0.12,,,,,,
30583,I,0.0394,0.0850,1.3712,0.24,3.23,-0.79,,,,,,
30593,I,0.1504,0.0118,0.7574,-0.37,-0.55,0.30,,,,,,
30603,I,0.2606,-0.0254,0.8481,0.18,-2.38,0.43,,,,,,
30613,I,0.0997,0.0791,1.3296,0.49,2.80,-1.16,,,,,,
30623,I,0.1862,0.0455,0.8612,1.46,0.00,0.30,,,,,,
30633,I,0.2167,-0.0166,0.7598,-0.18,-0.91,0.12,,,,,,
30643,I,0.0465,0.0726,1.3888,-0.73,2.87,-0.98,,,,,,
30653,I,0.0802,0.0480,0.9730,1.22,0.43,-0.06,,,,,,
30663,I,0.2889,-0.0304,0.6748,-0.73,-2.56,0.43,,,,,,
30683,I,0.1021,0.0795,1.0878,2.20,2.13,-0.49,,,,,,
30693,I,0.2251,-0.0222,0.6149,-1.04,-1.28,0.43,,,,,,
30703,I,0.1283,-0.0105,1.1801,-0.85,0.61,-0.73,,,,,,
30713,I,0.0748,0.0638,1.2502,1.22,2.07,-0.73,,,,,,
30723,I,0.1908,-0.0236,0.6770,-1.28,-0.98,0.30,,,,,,
30733,I,0.2633,-0.0209,0.9968,1.34,-1.89,-0.24,,,,,,
30743,I,0.0833,0.0846,1.2937,2.20,3.66,-0.91,,,,,,
30753,I,0.1079,-0.0044,0.7271,-1.52,0.37,0.18,,,,,,
30763,I,0.2388,-0.0624,0.8162,-0.79,-1.95,0.06,,,,,,
30773,I,0.1178,0.0981,1.3915,2.99,2.20,-0.85,,,,,,
30783,I,0.0901,0.0095,0.8528,-0.85,0.98,-0.18,,,,,,
30793,I,0.3306,-0.0212,0.7994,0.98,-3.17,0.37,,,,,,
30803,I,0.0886,0.0939,1.3558,3.29,3.35,-0.85,,,,,,
30813,I,0.0753,0.0209,0.8201,-1.83,1.95,-0.24,,,,,,
30823,I,0.2787,-0.0493,0.7482,-0.37,-2.99,0.30,,,,,,
30833,I,0.0984,0.1190,1.4136,3.96,2.68,-0.91,,,,,,
30843,I,0.1322,0.0225,0.8380,-1.04,0.67,0.00,,,,,,
30853,I,0.3285,-0.0142,0.8475,0.24,-2.74,0.30,,,,,,
30863,I,0.1046,0.0919,1.3170,3.23,3.23,-0.30,,,,,,
30873,I,0.1216,0.0160,0.7396,-2.20,1.71,-0.12,,,,,,
30892,I,0.0741,0.1135,1.3882,3.84,3.29,-0.79,,,,,,
30902,I,0.1680,0.0114,0.7264,-1.46,-0.73,0.12,,,,,,
30912,I,0.3096,0.0018,0.9067,0.85,-2.44,0.18,,,,,,
30922,I,0.0980,0.1146,1.3412,2.93,3.54,-0.49,,,,,,
30932,I,0.1273,0.0255,0.7039,-2.68,1.22,-0.12,,,,,,
30942,I,0.2567,-0.0436,0.8329,-0.49,-2.50,0.18,,,,,,
30952,I,0.0914,0.1348,1.4149,2.93,2.93,-0.79,,,,,,
30962,I,0.1331,0.0083,0.7690,-2.68,0.00,-0.12,,,,,,
30972,I,0.3242,-0.0038,0.8405,0.67,-3.05,0.37,,,,,,
30982,I,0.0961,0.1224,1.3672,2.80,3.41,-0.67,,,,,,
30992,I,0.1072,0.0259,0.7535,-3.23,1.40,-0.06,,,,,,
31002,I,0.2670,-0.0452,0.7872,-1.22,-2.74,0.24,,,,,,
31012,I,0.0966,0.1412,1.4261,3.17,2.87,-0.73,,,,,,
31022,I,0.1310,0.0177,0.7788,-2.87,0.06,0.00,,,,,,
31032,I,0.3241,0.0066,0.8593,0.00,-2.74,0.24,,,,,,
