tick_ms,row_type,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,lat,lon,alt,speed,sats,vbat
29345,I,0.0398,0.0453,1.1698,-0.43,-0.12,-0.18,,,,,,
29355,I,0.1803,0.0519,0.8359,2.68,-1.22,1.10,,,,,,
29365,I,0.3447,0.0380,0.9904,-2.07,-3.54,0.67,,,,,,
29375,I,0.2520,0.0612,1.0573,-0.98,0.91,0.91,,,,,,
29385,I,0.3541,0.0441,0.8967,0.49,0.06,1.89,,,,,,
29395,I,0.1980,0.0234,1.0974,-3.90,2.87,1.89,,,,,,
29405,I,0.0513,-0.0039,0.8676,-2.99,4.63,1.77,,,,,,
29415,I,0.1224,0.0134,0.8717,1.59,0.00,2.01,,,,,,
29425,I,0.0179,0.1272,1.0399,1.83,1.65,2.44,,,,,,
29435,I,-0.0372,0.0271,0.7802,-5.06,0.73,2.01,,,,,,
29523,I,0.0636,-0.0165,1.1810,-5.43,6.04,-0.18,,,,,,
29533,I,0.0054,-0.0035,0.9355,1.52,4.82,-0.43,,,,,,
29543,I,0.1323,0.0667,0.9501,4.76,0.18,-0.37,,,,,,
29553,I,0.0164,0.0778,1.0575,1.65,2.26,-0.67,,,,,,
29563,I,0.0266,0.0142,0.8130,-3.05,0.73,-1.77,,,,,,
29573,I,0.2102,0.0708,0.9498,5.55,-3.72,-1.16,,,,,,
29583,I,0.1943,0.0754,0.9210,1.77,-0.55,-2.20,,,,,,
29593,I,0.2653,0.0190,0.9097,-1.59,-1.40,-2.93,,,,,,
29603,I,0.2285,0.0878,1.1100,2.93,-0.18,-3.11,,,,,,
29613,I,0.2037,0.0770,0.8131,3.48,1.34,-3.54,,,,,,
29635,I,0.0975,0.0667,1.0345,0.12,2.44,-4.88,,,,,,
29645,I,0.3052,0.0323,1.0203,0.67,-1.46,-4.94,,,,,,
29655,I,0.2372,0.0696,1.1125,2.44,1.10,-5.67,,,,,,
29665,I,0.1815,0.0443,0.9651,2.13,1.83,-5.85,,,,,,
