gps_time,lat,lon,alt,speed,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,vbat
1773118612.69000,10.00238,76.3793,0.0,7.97,0.1398,0.1012,1.0044,5.91,0.85,8.60,1.28
1773118612.70600,10.00238,76.3793,0.0,7.97,0.2782,0.0938,1.0254,5.06,-0.18,8.48,0.29
1773118612.81200,10.00208,76.37925,44.8,14.52,-0.0105,0.0807,1.1619,6.77,1.59,9.39,0.27
1773118612.91300,10.00208,76.37925,44.8,14.91,0.1040,0.0566,0.9504,7.13,-8.72,13.17,0.37
1773118612.01300,10.00208,76.37925,44.8,15.31,0.2458,0.0457,0.9736,8.29,-1.59,16.46,0.25
1773118612.11300,10.00207,76.37926,44.7,14.01,-0.0343,0.0897,0.8845,4.82,5.24,17.13,0.28
1773118612.21200,10.00207,76.37926,44.6,14.52,-0.1626,-0.0034,1.0179,0.91,13.48,19.39,0.29
1773118612.31300,10.00207,76.37926,44.5,14.18,0.0713,-0.0099,1.0951,-1.95,10.43,20.00,0.24
1773118612.41300,10.00207,76.37926,44.4,12.95,0.1672,0.0289,1.0461,-2.93,10.98,20.67,0.26
1773118612.51300,10.00206,76.37926,44.3,15.37,0.0110,0.0859,0.9515,1.16,10.67,21.10,0.30
1773118612.61300,10.00206,76.37926,44.3,14.80,-0.0468,0.1227,1.0573,1.71,14.02,19.94,0.36
1773118613.71300,10.00206,76.37927,44.2,14.88,0.1002,0.0713,1.0813,1.77,8.35,19.63,0.30
1773118613.81300,10.00206,76.37927,44.1,14.79,0.1617,0.0486,1.0470,0.55,0.12,19.94,0.38
1773118613.91400,10.00206,76.37928,44.1,14.18,0.0638,0.0864,1.0208,0.85,6.65,19.45,0.28
1773118613.01400,10.00205,76.37928,44.1,14.73,0.4724,-0.0109,1.0869,-3.17,0.67,18.78,0.39
1773118613.11400,10.00205,76.37928,44.1,14.90,0.2563,0.1735,1.1082,2.93,-1.95,18.60,0.35
1773118613.21500,10.00205,76.37929,44.1,15.13,0.1257,-0.0015,0.8981,-2.99,0.00,19.51,0.27
1773118613.31400,10.00205,76.37929,44.0,13.64,-0.0103,0.0532,1.2217,-1.22,14.45,19.63,0.40
1773118613.41400,10.00205,76.3793,43.8,14.39,-0.0005,0.1068,1.1403,-2.62,15.79,16.77,0.42
1773118613.51500,10.00204,76.3793,43.8,15.60,0.0236,0.0137,1.1428,-8.66,9.21,17.01,0.37
1773118613.61500,10.00204,76.3793,43.8,14.08,-0.1112,0.0941,0.9415,-4.70,0.85,14.63,0.36
1773118614.71500,10.00204,76.3793,43.7,15.64,-0.1665,0.0662,0.8035,-0.98,0.55,13.11,0.30
1773118614.81500,10.00204,76.3793,43.8,14.50,0.2290,0.0438,1.1761,-4.02,-1.95,11.34,0.33
1773118614.91400,10.00204,76.37931,43.7,15.55,0.2949,0.0199,0.8771,0.18,-9.02,8.11,0.35
1773118614.01400,10.00204,76.37931,43.8,14.45,0.1541,0.0902,0.8453,5.43,1.34,5.30,0.34
1773118614.11500,10.00203,76.37932,43.8,15.66,0.1010,-0.0195,1.0479,-1.22,0.55,4.21,0.39
1773118614.21500,10.00203,76.37932,43.8,16.87,-0.0859,0.1071,0.7273,6.59,6.16,5.24,0.45
1773118614.31400,10.00203,76.37933,43.9,14.54,-0.0535,-0.0524,1.2561,-4.70,8.54,9.51,0.36
1773118614.41400,10.00203,76.37933,43.8,15.22,0.0112,0.0436,0.9465,0.98,0.73,12.01,0.31
1773118614.51500,10.00203,76.37933,43.9,15.94,0.1315,-0.0720,0.9792,-1.83,0.24,13.72,0.39
1773118614.61400,10.00203,76.37933,43.9,16.92,0.4279,0.1038,1.1002,1.10,-0.37,12.20,0.35
1773118615.71400,10.00203,76.37934,44.0,15.19,0.3414,0.0580,1.2552,-1.04,7.44,11.95,0.46
1773118615.81400,10.00203,76.37934,44.0,16.34,0.3575,0.0063,0.8849,0.00,-6.40,9.51,0.30
1773118615.91500,10.00202,76.37935,44.1,18.60,0.1405,0.0366,0.9990,-0.61,4.27,9.27,0.40
1773118615.01400,10.00202,76.37935,44.2,15.69,-0.0449,0.1127,1.3031,-0.24,-3.60,10.79,0.42
1773118615.11500,10.00202,76.37936,44.1,16.60,0.1642,0.0629,1.2023,1.65,0.67,10.55,0.37
1773118615.21600,10.00202,76.37936,44.0,16.41,0.2443,0.0608,0.7295,1.40,-3.78,7.87,0.44
1773118615.31600,10.00202,76.37936,44.2,15.83,-0.0183,0.0137,0.6396,-1.59,-2.93,6.83,0.30
1773118615.41600,10.00202,76.37936,44.3,15.58,-0.0549,0.0171,1.0800,-1.65,-2.93,7.62,0.25
1773118615.51700,10.00202,76.37937,44.3,15.08,0.4207,0.1034,1.0541,5.85,-1.83,5.98,0.31
1773118615.61600,10.00202,76.37937,44.2,14.68,-0.1193,0.0261,0.7332,1.46,8.05,4.88,0.45
1773118616.71600,10.00202,76.37938,44.2,14.37,-0.5674,0.0959,0.8730,5.55,7.32,6.95,0.45
1773118616.81500,10.00202,76.37938,44.3,15.81,-0.4801,-0.1426,1.1708,-2.26,2.26,8.41,0.38
1773118616.91500,10.00201,76.37939,44.6,17.15,0.0677,0.1195,1.0090,12.07,1.46,7.74,0.37
1773118616.01500,10.00201,76.37939,44.5,16.52,-0.0917,0.0208,0.7452,9.39,8.66,8.96,0.32
1773118616.11500,10.00201,76.37939,44.4,15.99,-0.1837,0.1329,0.9858,9.39,10.67,11.10,0.30
1773118616.21600,10.00201,76.37939,44.3,14.92,0.4012,0.1270,0.8734,12.13,4.57,12.62,0.33
1773118616.31600,10.00201,76.3794,44.3,13.87,0.5581,0.0326,0.8290,7.01,6.16,11.83,0.37
1773118616.41500,10.00201,76.3794,44.3,13.16,0.4580,0.1178,0.9932,8.11,8.23,13.66,0.35
1773118616.51600,10.00201,76.3794,44.3,12.02,-0.1854,0.0531,1.0708,7.20,7.07,17.13,0.28
1773118616.61600,10.00201,76.37939,44.2,7.58,-0.1185,-0.0073,1.1770,7.44,5.91,20.24,0.38
1773118617.71500,10.00201,76.37939,44.0,4.99,-0.2770,0.1135,0.8479,11.46,7.13,22.38,0.41
1773118617.81500,10.00201,76.37939,44.0,5.23,0.0704,0.0222,0.9417,6.22,1.83,25.79,0.39
